id,name,rank,genre,soundcloud_track_id,playcount_all,playcount_weekly,artist
786330850,Trippie Redd & Sunny2point0 - STAR POWER,95,Hip-hop & Rap,786330850,38047,9827,TRIPPIE REDD SNIPPETS
787110682,SVDDEN DEATH & SNAILS - DEATHMATCH,96,Dubstep,787110682,28823,9643,SVDDEN DEATH
784122085,PARTYNEXTDOOR - EYE ON IT,97,R&B,784122085,78869,9327,partyomo
786457765,EL LABORATORIO DE GREGXTER (LA CURA) BY EL MAGO,98,ElMago,786457765,25325,9298,Christian Greg
784122910,PARTYNEXTDOOR - TOUCH ME,99,R&B,784122910,75754,9251,partyomo
784122484,PARTYNEXTDOOR - PGT,100,R&B,784122484,78352,9006,partyomo
783898198,Atrapado en un Sueño,101,World Music,783898198,93278,8885,Junior H
785785585,Aisyah Istri Rasulullah (Nissa Sabyan),102,,785785585,55846,8834,Rara
784794361,Josh Richards - STILL SOFTISH ft. Bryce Hall (Lil Huddy Diss Track),103,,784794361,62256,8826,Monkeybutt
784085035,AMG,104,,784085035,79863,8587,PHARAOH
785784871,nhạc Ngọt nhưng mà là kẹo ke ạ,105,ngọt ba(y)nd,785784871,41648,8538,BAY.LEE
785608282,Hoes Fav,106,,785608282,41298,8512,jay critch
786295528,MACAN - Кино,107,,786295528,38420,8434,gng17122002
784122277,PARTYNEXTDOOR - NEVER AGAIN,108,R&B,784122277,70708,8420,partyomo
784122202,PARTYNEXTDOOR - ANOTHER DAY,109,R&B,784122202,74704,8389,partyomo
782653723,RICH BRIAN TOKYO DRIFT FREESTYLE,110,Hip-hop & Rap,782653723,136878,8287,RICH BRIAN
785338126,I Wanna Dance With Somebody (Timbaland Remix),111,,785338126,38543,8287,Timbaland
783769087,I Ain’t Perfect,112,Hip-hop & Rap,783769087,85574,8280,Mozzy
784055539,2 Оттенка Стиля by Verbaaa & Slavskyi,113,Hip-hop & Rap,784055539,86931,8256,Slavskyi
783375118,Machine Gun Kelly & Travis Barker - Misery Business (Paramore Cover),114,,783375118,107049,8174,machinegunkelly
784086568,Без ключа,115,,784086568,74543,7980,PHARAOH
787526920,DJ G Money x King Moe - Dance Nonsense,116,World,787526920,15436,7865,DJ G MONEY
784075870,PHARAOH x Dima Roux - Чувствую,117,Hip-hop & Rap,784075870,63857,7576,Русская Рэп-Сцена
782223340,Massar Egbari - 7ad Tayeh | مسار إجباري - حد تايه,118,Alternative Rock,782223340,150901,7504,Massar Egbari
785040949,"MC KAIO,MC L DA VINTE,MC AK -SOU DE TODAS-DJ TG DA INESTAN -DJ PH DA SERRA- DJ LV MDP E ARTHUZIN",119,,785040949,46445,7441,DJ TG DA INESTAN
785587738,Cayendo (Acoustic),120,R&B & Soul,785587738,40156,7378,Frank Ocean
784528378,مهرجان محدش يتوقعنى 💪 ( بعد يا عيني وبعد ياليلي ),121,,784528378,47463,7300,Ahmed abdallah mazzika
784056115,Dutchavelli - Surely,122,,784056115,70619,7174,$K DA PLUG
786303538,HammAli - На что мы тратим жизнь?,123,Hip-hop & Rap,786303538,33689,7097,Zhara Music
785311045,Udh Chaliye,124,Pop,785311045,39666,7080,Danny Zee
783616174,مهرجان مش هسمى عليه - عبده سيطره - توزيع كريم المهدى 2020,125,,783616174,77881,7012,مهرجانات 2020
786961570,TOOSIE SLIDE | DRAKE | UNRELEASED,126,Hip-hop & Rap,786961570,18987,6909,Kaiden MacEachern
786150457,U Turn,127,EverythingcoZ,786150457,27171,6775,Coi Leray
787249561,Heaven Gates,128,Hip-hop & Rap,787249561,26711,6764,Yungeen Ace
