artist,uri,followers,genres,popularity
Bobby Goldsboro,spotify:artist:5gPEo032lzARtzuVqJIm9o,67436,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",51
The Exciters,spotify:artist:2GF1B0GIaFrLFLdfH6ufRO,10783,"['brill building pop', 'classic girl group', 'motown', 'northern soul']",40
The Marketts,spotify:artist:2W9dD4SfW7p19JtzRgWGjz,6207,['surf music'],35
The Box Tops,spotify:artist:3KGQvnOoqUHi3KxKQMZtXr,82526,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'merseybeat']",52
Guty Cárdenas,spotify:artist:1XXNhXjfbtXeW1amhbUKIW,5285,['ranchera'],26
Herman's Hermits,spotify:artist:48YxSlb23RAaCd4RyHcV9V,253908,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']",56
Langston Hughes,spotify:artist:1mNcebzTg5QlHEY4WYhLSm,4816,"['american modern classical', 'poetry']",16
The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt,4867279,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']",77
The Hombres,spotify:artist:5Kd7EaN14eunBIyNux2c3z,663,['classic garage rock'],20
Syd Dale,spotify:artist:3zIU8LPjTkHA4kvYK4UrM4,2275,"['easy listening', 'exotica', 'library music', 'lounge', 'moog', 'spytrack']",27
Françoise Hardy,spotify:artist:7x3f7c0fBanNlQwpx1255g,196272,"['chanson', 'ye ye']",61
Charles Mingus,spotify:artist:1W8TbFzNS15VwsempfY12H,292404,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']",55
Gilberto Gil,spotify:artist:7oEkUINVIj1Nr3Wnj8tzqr,645766,"['bossa nova', 'forro', 'mpb', 'samba', 'violao']",68
Ike & Tina Turner,spotify:artist:1ZikppG9dPedbIgMfnfx8k,148828,"['brill building pop', 'classic soul', 'motown', 'soul', 'southern soul']",59
André Hossein,spotify:artist:78Y9jLWrj4OZhYahQ6otcH,135,"['french soundtrack', 'oriental classical']",13
The Hippy Boys,spotify:artist:579Ncba3u16DyUSrvxctnx,2074,"['early reggae', 'rock steady']",19
Benjamin Britten,spotify:artist:7MJ1pB5d6Vjmzep2zQlorn,29514,"['british modern classical', 'classical', 'neoclassicism']",52
The Detergents,spotify:artist:1WbH0e5a1gdnw5oVPZ8OJV,69,[],5
The Searchers,spotify:artist:4QmkLL9JOqM9dusHS1Hghe,107287,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",51
Bobby Moore & The Rhythm Aces,spotify:artist:6qlpFH9e4sZ52tAPy2KmLz,1369,['classic soul'],34
Scott Walker,spotify:artist:04tBaW21jyUfeP5iqiKBVq,81208,"['art pop', 'art rock', 'baroque pop', 'chamber pop', 'experimental', 'experimental rock', 'melancholia', 'post-punk', 'singer-songwriter', 'slow core']",50
Giacomo Puccini,spotify:artist:0OzxPXyowUEQ532c9AmHUR,253225,"['classical', 'italian opera', 'post-romantic era']",65
The Shangri-Las,spotify:artist:1WvziZcLLYLoMMdmQx7qcN,69045,"['brill building pop', 'classic girl group']",48
Donovan,spotify:artist:4SOtk3HtPYKqxnVuxNBMti,43816,"['acoustic pop', 'canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",60
Ennio Morricone,spotify:artist:1nIUhcKHnK6iyumRyoV68C,567400,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",70
Tommy McCook,spotify:artist:27CnIh4lLIOW2DqEwO1QIf,10223,"['dub', 'early reggae', 'reggae', 'rock steady', 'roots reggae', 'ska', 'ska jazz']",42
Aretha Franklin,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,2222423,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",75
Ramsey Lewis,spotify:artist:7Kfrmups2Z3ncDQmNS5jRc,48685,"['funk', 'instrumental soul', 'jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz', 'soul jazz']",49
Traditional,spotify:artist:1U5zgr455OGyIkLNXvDdrf,27045,['sleep'],64
