,title,artist,image,weeks,chart
728,Good To Know,JoJo,https://charts-static.billboard.com/img/2020/05/jojo-c9s-good-to-know-3g2-53x53.jpg,1.0,current-albums
729,Graves Into Gardens,Elevation Worship,https://charts-static.billboard.com/img/2020/05/elevation-worship-ht7-graves-into-gardens-itt-53x53.jpg,1.0,current-albums
730,NOW 74,Various Artists,https://charts-static.billboard.com/img/2020/05/various-artists-000-now-74-oyd-53x53.jpg,1.0,current-albums
731,Lamentations,American Aquarium,https://charts-static.billboard.com/img/2020/05/american-aquarium-fa0-lamentations-8a0-53x53.jpg,1.0,current-albums
732,MAP OF THE SOUL : 7,BTS,https://charts-static.billboard.com/img/2013/06/bts-4i5-53x53.jpg,11.0,current-albums
733,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,https://charts-static.billboard.com/img/2019/04/billie-eilish-1e3-when-we-all-fall-asleep-where-do-we-go-ye3-53x53.jpg,58.0,current-albums
734,Making A Door Less Open,Car Seat Headrest,https://charts-static.billboard.com/img/2020/05/car-seat-headrest-qjm-making-a-door-less-open-f86-53x53.jpg,1.0,current-albums
735,"NCT #127: Neo Zone, The 2nd Album",NCT 127,https://charts-static.billboard.com/img/2016/07/nct-127-04h-53x53.jpg,9.0,current-albums
736,Chilombo,Jhene Aiko,https://charts-static.billboard.com/img/2020/03/jhene-aiko-000-chilombo-bur-53x53.jpg,9.0,current-albums
737,Fine Line,Harry Styles,https://charts-static.billboard.com/img/2019/12/harry-styles-psx-fine-line-62h-53x53.jpg,21.0,current-albums
738,American Standard,James Taylor,https://charts-static.billboard.com/img/2020/03/james-taylor-ppd-american-standard-hoo-53x53.jpg,10.0,current-albums
739,Good Souls Better Angels,Lucinda Williams,https://charts-static.billboard.com/img/2020/05/lucinda-williams-sc7-good-souls-better-angels-3kt-53x53.jpg,2.0,current-albums
740,Fully Loaded: God's Country,Blake Shelton,https://charts-static.billboard.com/img/2019/12/blake-shelton-m3d-fully-loaded-gods-country-817-53x53.jpg,21.0,current-albums
741,TROLLS: World Tour,Soundtrack,https://charts-static.billboard.com/img/2020/03/soundtrack-000-trolls-world-tour-o2h-53x53.jpg,8.0,current-albums
742,After Hours,The Weeknd,https://charts-static.billboard.com/img/2020/04/the-weeknd-pqn-after-hours-r65-53x53.jpg,7.0,current-albums
743,Dont Smile At Me,Billie Eilish,https://charts-static.billboard.com/img/2017/10/billie-eilish-1e3-dont-smile-at-me-hbg-53x53.jpg,76.0,current-albums
744,Frozen II,Soundtrack,https://charts-static.billboard.com/img/2019/11/soundtrack-000-frozen-ii-yhp-53x53.jpg,25.0,current-albums
745,What You See Is What You Get,Luke Combs,https://charts-static.billboard.com/img/2019/11/luke-combs-m9g-what-you-see-is-what-you-get-t5k-53x53.jpg,26.0,current-albums
746,Nine,Blink-182,https://charts-static.billboard.com/img/2019/10/blink-182-rhr-nine-5fx-53x53.jpg,6.0,current-albums
747,Diamonds,Elton John,https://charts-static.billboard.com/img/2017/12/elton-john-qls-diamonds-48x-53x53.jpg,129.0,current-albums
748,Ordinary Man,Ozzy Osbourne,https://charts-static.billboard.com/img/2020/03/ozzy-osbourne-zlc-ordinary-man-9q3-53x53.jpg,11.0,current-albums
749,Future Nostalgia,Dua Lipa,https://charts-static.billboard.com/img/2020/04/dua-lipa-5k0-future-nostalgia-ec3-53x53.jpg,6.0,current-albums
750,Look Up Child,Lauren Daigle,https://charts-static.billboard.com/img/2018/09/lauren-daigle-vvo-look-up-child-897-53x53.jpg,87.0,current-albums
751,Songs For Singin',The Okee Dokee Brothers,https://charts-static.billboard.com/img/2020/05/the-okee-dokee-brothers-50r-songs-for-singin-gz2-53x53.jpg,1.0,current-albums
752,Lover,Taylor Swift,https://charts-static.billboard.com/img/2019/09/taylor-swift-70p-lover-a0i-53x53.jpg,37.0,current-albums
753,The New Abnormal,The Strokes,https://charts-static.billboard.com/img/2001/09/the-strokes-pwn-53x53.jpg,4.0,current-albums
754,Gigaton,Pearl Jam,https://charts-static.billboard.com/img/2020/04/pearl-jam-1pn-gigaton-isy-53x53.jpg,6.0,current-albums
755,Atonement II: B-Sides For Charity (EP),Killswitch Engage,https://charts-static.billboard.com/img/2020/05/killswitch-engage-7hs-atonement-ii-bsides-for-charity-ep-ifl-53x53.jpg,1.0,current-albums
756,Beyond Bulletproof,Mozzy,https://charts-static.billboard.com/img/2020/05/mozzy-uz7-beyond-bulletproof-2bf-53x53.jpg,1.0,current-albums
757,Choirmaster,Ricky Dillard,https://charts-static.billboard.com/img/2020/05/ricky-dillard-t6g-choirmaster-twa-53x53.jpg,1.0,current-albums
758,Traveller,Chris Stapleton,https://charts-static.billboard.com/img/2015/05/chris-stapleton-0pi-traveller-k57-53x53.jpg,246.0,current-albums
759,F8,Five Finger Death Punch,https://charts-static.billboard.com/img/2020/03/five-finger-death-punch-kxm-f8-lae-53x53.jpg,10.0,current-albums
760,SOUTHSIDE,Sam Hunt,https://charts-static.billboard.com/img/2014/06/sam-hunt-2mf-87x87.jpg,5.0,current-albums
761,Invisible People,Chicano Batman,https://charts-static.billboard.com/img/2020/05/chicano-batman-pvc-invisible-people-qpx-53x53.jpg,1.0,current-albums
762,Dream Hunting In The Valley Of The In-Between,Man Man,https://charts-static.billboard.com/img/2008/04/man-man-15s-53x53.jpg,1.0,current-albums
763,Cuz I Love You,Lizzo,https://charts-static.billboard.com/img/2019/05/lizzo-w3u-cuz-i-love-you-ao3-53x53.jpg,55.0,current-albums
764,The Greatest Showman,Soundtrack,https://charts-static.billboard.com/img/2017/12/soundtrack-000-the-greatest-showman-agl-53x53.jpg,126.0,current-albums
765,Map Of The Soul: PERSONA,BTS,https://charts-static.billboard.com/img/2019/04/bts-4i5-map-of-the-soul-persona-3xf-53x53.jpg,56.0,current-albums
766,Heartbreak Weather,Niall Horan,https://charts-static.billboard.com/img/2020/03/niall-horan-5to-heartbreak-weather-w7u-53x53.jpg,8.0,current-albums
767,What The Dead Men Say,Trivium,https://charts-static.billboard.com/img/2020/05/trivium-si8-what-the-dead-men-say-9ly-53x53.jpg,2.0,current-albums
768,This One's For You,Luke Combs,https://charts-static.billboard.com/img/2017/06/luke-combs-y14-this-ones-for-you-dxb-53x53.jpg,153.0,current-albums
769,Fetch The Bolt Cutters,Fiona Apple,https://charts-static.billboard.com/img/2020/05/fiona-apple-rs5-fetch-the-bolt-cutters-0d4-53x53.jpg,3.0,current-albums
770,Music To Be Murdered By,Eminem,https://charts-static.billboard.com/img/2020/02/eminem-c16-music-to-be-murdered-by-9if-53x53.jpg,16.0,current-albums
771,Show Me The Blueprints,Days N Daze,https://charts-static.billboard.com/img/2020/05/days-n-daze-000-show-me-the-blueprints-ydn-53x53.jpg,1.0,current-albums
772,NOW 73,Various Artists,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?7d5b0e6ad75e748d5e20,15.0,current-albums
773,IGOR,"Tyler, The Creator",https://charts-static.billboard.com/img/2019/06/tyler-the-creator-556-igor-z0p-53x53.jpg,32.0,current-albums
774,C A L M,5 Seconds Of Summer,https://charts-static.billboard.com/img/2020/04/5-seconds-of-summer-oh3-calm-y5o-53x53.jpg,7.0,current-albums
775,JESUS IS KING (Soundtrack),Kanye West,https://charts-static.billboard.com/img/2019/11/kanye-west-nwz-jesus-is-king-soundtrack-bh9-53x53.jpg,8.0,current-albums
776,The K Is Silent,Hot Country Knights,https://charts-static.billboard.com/img/2020/05/hot-country-knights-000-the-k-is-silent-n90-53x53.jpg,1.0,current-albums
777,Swimming,Mac Miller,https://charts-static.billboard.com/img/2018/08/mac-miller-bjj-swimming-omx-53x53.jpg,48.0,current-albums
778,Manic,Halsey,https://charts-static.billboard.com/img/2020/02/halsey-iqm-manic-rmv-53x53.jpg,16.0,current-albums
779,Glue,Boston Manor,https://charts-static.billboard.com/img/2020/05/boston-manor-000-glue-hn2-53x53.jpg,1.0,current-albums
780,Changes,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg,12.0,current-albums
781,American Teen,Khalid,https://charts-static.billboard.com/img/2017/03/khalid-dsk-american-teen-x4i-53x53.jpg,119.0,current-albums
782,V,Havok,https://charts-static.billboard.com/img/2013/07/havok-icl-53x53.jpg,1.0,current-albums
783,9,Jason Aldean,https://charts-static.billboard.com/img/2005/04/jason-aldean-uq3-53x53.jpg,24.0,current-albums
784,Hollywood's Bleeding,Post Malone,https://charts-static.billboard.com/img/2019/09/post-malone-1vw-hollywoods-bleeding-f9j-53x53.jpg,35.0,current-albums
785,Sings Elvis,Danzig,https://charts-static.billboard.com/img/2020/05/danzig-h29-sings-elvis-xkr-53x53.jpg,2.0,current-albums
786,kelsea,Kelsea Ballerini,https://charts-static.billboard.com/img/2020/04/kelsea-ballerini-n8l-kelsea-th4-53x53.jpg,7.0,current-albums
787,Fear Inoculum,Tool,https://charts-static.billboard.com/img/2019/09/tool-m81-fear-inoculum-gzf-53x53.jpg,36.0,current-albums
788,ALL ABOUT LUV,MONSTA X,https://charts-static.billboard.com/img/2020/02/monsta-x-u54-all-about-luv-2e9-53x53.jpg,11.0,current-albums
789,ASTROWORLD,Travis Scott,https://charts-static.billboard.com/img/2018/08/travis-scott-jll-astroworld-0yp-53x53.jpg,38.0,current-albums
790,SuperM: The 1st Mini Album (EP),SuperM,https://charts-static.billboard.com/img/2019/10/superm-000-superm-the-1st-mini-album-ep-6nu-53x53.jpg,31.0,current-albums
791,Murdaa Cee Wrote!,NWM Cee Murdaa,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?7d5b0e6ad75e748d5e20,1.0,current-albums
792,Wildcard,Miranda Lambert,https://charts-static.billboard.com/img/2004/10/miranda-lambert-sva-53x53.jpg,27.0,current-albums
793,Hamilton: An American Musical,Original Broadway Cast,https://charts-static.billboard.com/img/2015/10/original-broadway-cast-recording-000-hamilton-an-american-musical-45j-53x53.jpg,241.0,current-albums
794,Fuck You Bitch: All-Time Greatest Hits,Wheeler Walker Jr.,https://charts-static.billboard.com/img/2020/05/wheeler-walker-jr-000-fuck-you-bitch-alltime-greatest-hits-ysy-53x53.jpg,1.0,current-albums
795,Slime & B,Chris Brown & Young Thug,https://charts-static.billboard.com/img/2020/05/chris-brown-xny-slime-and-b-pko-53x53.jpg,1.0,current-albums
796,Rare,Selena Gomez,https://charts-static.billboard.com/img/2008/06/selena-gomez-nxt-53x53.jpg,17.0,current-albums
797,Mother,In This Moment,https://charts-static.billboard.com/img/2020/04/in-this-moment-zj0-mother-b75-53x53.jpg,6.0,current-albums
798,Kidz Bop Party Playlist!,Kidz Bop Kids,https://charts-static.billboard.com/img/2020/04/kidz-bop-kids-hda-kidz-bop-party-playlist-3u8-53x53.jpg,6.0,current-albums
799,"Thank U, Next",Ariana Grande,https://charts-static.billboard.com/img/2019/02/ariana-grande-ypy-thank-u-next-fj6-53x53.jpg,54.0,current-albums
800,Greatest Hits (2019),Joan Jett & the Blackhearts,https://charts-static.billboard.com/img/2019/05/joan-jett-the-blackhearts-0n7-53x53.jpg,1.0,current-albums
801,Look Alive (EP),Shakey Graves,https://charts-static.billboard.com/img/2020/05/shakey-graves-mt4-look-alive-ep-tbl-53x53.jpg,1.0,current-albums
802,The Slow Rush,Tame Impala,https://charts-static.billboard.com/img/2010/07/tame-impala-ye2-53x53.jpg,12.0,current-albums
803,Solitude In Madness,Vader,https://charts-static.billboard.com/img/2020/05/vader-aw0-solitude-in-madness-67c-53x53.jpg,1.0,current-albums
804,38 Baby 2,YoungBoy Never Broke Again,https://charts-static.billboard.com/img/2020/05/youngboy-never-broke-again-oxr-38-baby-2-6oq-53x53.jpg,2.0,current-albums
805,My Turn,Lil Baby,https://charts-static.billboard.com/img/2020/03/lil-baby-nwx-my-turn-3fx-53x53.jpg,10.0,current-albums
806,"NOW: That's What I Call Yacht Rock, Volume 2",Various Artists,https://charts-static.billboard.com/img/2020/05/various-artists-000-now-thats-what-i-call-yacht-rock-volume-2-p6a-53x53.jpg,1.0,current-albums
807,ZOMBIES 2,Soundtrack,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?7d5b0e6ad75e748d5e20,12.0,current-albums
808,Goin' 50,ZZ Top,https://charts-static.billboard.com/img/2019/06/zz-top-l8g-goin-50-gsa-53x53.jpg,2.0,current-albums
809,Star Wars: The Rise Of Skywalker,Soundtrack,https://charts-static.billboard.com/img/2019/12/soundtrack-000-star-wars-the-rise-of-skywalker-czk-53x53.jpg,12.0,current-albums
810,Never Will,Ashley McBryde,https://charts-static.billboard.com/img/2016/04/ashley-mcbryde-v1u-53x53.jpg,5.0,current-albums
811,Saint Cloud,Waxahatchee,https://charts-static.billboard.com/img/2020/04/waxahatchee-vxi-saint-cloud-u69-53x53.jpg,6.0,current-albums
812,City Burials,Katatonia,https://charts-static.billboard.com/img/2020/05/katatonia-51y-city-burials-c7s-53x53.jpg,2.0,current-albums
813,Free Spirit,Khalid,https://charts-static.billboard.com/img/2019/04/khalid-dsk-free-spirit-dds-53x53.jpg,34.0,current-albums
814,Star Wars: The Clone Wars - The Final Season (Episodes 9-12),Soundtrack,https://charts-static.billboard.com/img/2020/05/soundtrack-000-star-wars-the-clone-wars-the-final-season-episodes-912-d8n-53x53.jpg,1.0,current-albums
815,It Is What It Is,Thundercat,https://charts-static.billboard.com/img/2017/03/thundercat-53x53.jpg,3.0,current-albums
816,Norman Fucking Rockwell!,Lana Del Rey,https://charts-static.billboard.com/img/2019/09/lana-del-rey-x3j-norman-fucking-rockwell-8ay-53x53.jpg,35.0,current-albums
817,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://charts-static.billboard.com/img/2019/06/lewis-capaldi-s2h-divinely-uninspired-to-a-hellish-extent-b8g-53x53.jpg,29.0,current-albums
818,If I Know Me,Morgan Wallen,https://charts-static.billboard.com/img/2018/05/morgan-wallen-ur7-if-i-know-me-n46-53x53.jpg,8.0,current-albums
819,Father Of All...,Green Day,https://charts-static.billboard.com/img/2020/02/green-day-qwn-father-of-all-9qm-53x53.jpg,13.0,current-albums
820,The Highwomen,The Highwomen,https://charts-static.billboard.com/img/2019/09/the-highwomen-000-the-highwomen-fwt-53x53.jpg,24.0,current-albums
821,Grammy 2020 Nominees,Various Artists,https://charts-static.billboard.com/img/2020/02/various-artists-000-grammy-2020-nominees-esb-53x53.jpg,16.0,current-albums
822,Many Faces Of Metallica,Various Artists,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?7d5b0e6ad75e748d5e20,2.0,current-albums
823,Alphabetland,X,https://charts-static.billboard.com/img/2020/05/x-000-alphabetland-4cl-53x53.jpg,3.0,current-albums
824,Circles,Mac Miller,https://charts-static.billboard.com/img/2020/02/mac-miller-bjj-circles-y0z-53x53.jpg,9.0,current-albums
825,Greatest Hits,Queen,https://charts-static.billboard.com/img/1981/11/queen-m21-greatest-hits-z3x-53x53.jpg,716.0,catalog-albums
826,Legend: The Best Of...,Bob Marley And The Wailers,https://charts-static.billboard.com/img/1984/08/bob-marley-and-the-wailers-000-legend-the-best-of-bob-marley-and-the-wailers-dzx-87x87.jpg,1412.0,catalog-albums
827,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,https://charts-static.billboard.com/img/1993/01/creedence-clearwater-revival-6ft-chronicle-the-20-greatest-hits-ttg-53x53.jpg,1051.0,catalog-albums
828,Journey's Greatest Hits,Journey,https://charts-static.billboard.com/img/1988/12/journey-9r5-journeys-greatest-hits-lte-53x53.jpg,1255.0,catalog-albums
829,Rumours,Fleetwood Mac,https://charts-static.billboard.com/img/1977/02/fleetwood-mac-m6k-rumours-lei-53x53.jpg,309.0,catalog-albums
830,1,The Beatles,https://charts-static.billboard.com/img/2000/12/the-beatles-ism-1-yo3-53x53.jpg,638.0,catalog-albums
831,Birds In The Trap Sing McKnight,Travis Scott,https://charts-static.billboard.com/img/2016/09/travis-scott-jll-birds-in-the-trap-sing-mcknight-ogv-53x53.jpg,82.0,catalog-albums
832,Moana,Soundtrack,https://charts-static.billboard.com/img/2016/12/soundtrack-000-moana-yt0-53x53.jpg,21.0,catalog-albums
833,Greatest Hits,Tom Petty And The Heartbreakers,https://charts-static.billboard.com/img/1993/12/tom-petty-and-the-heartbreakers-f8u-greatest-hits-jus-53x53.jpg,687.0,catalog-albums
834,The Essential Billy Joel,Billy Joel,https://charts-static.billboard.com/img/2001/10/billy-joel-9l9-the-essential-billy-joel-a8c-53x53.jpg,126.0,catalog-albums
835,Invasion Of Privacy,Cardi B,https://charts-static.billboard.com/img/2018/04/cardi-b-mts-invasion-of-privacy-w49-53x53.jpg,24.0,catalog-albums
836,Abbey Road,The Beatles,https://charts-static.billboard.com/img/1969/10/the-beatles-tkd-abbey-road-w8n-53x53.jpg,449.0,catalog-albums
837,Appetite For Destruction,Guns N' Roses,https://charts-static.billboard.com/img/1987/08/guns-n-roses-i8r-appetite-for-destruction-zep-53x53.jpg,500.0,catalog-albums
838,Greatest Hits,2Pac,https://charts-static.billboard.com/img/1998/12/2pac-asm-greatest-hits-984-53x53.jpg,254.0,catalog-albums
839,Take Care,Drake,https://charts-static.billboard.com/img/2011/12/drake-hq6-take-care-gye-53x53.jpg,214.0,catalog-albums
840,Views,Drake,https://charts-static.billboard.com/img/2016/05/drake-zwl-views-f0a-53x53.jpg,71.0,catalog-albums
841,Back In Black,AC/DC,https://charts-static.billboard.com/img/1980/08/ac-dc-3eb-back-in-black-qzj-53x53.jpg,1020.0,catalog-albums
842,Dan + Shay,Dan + Shay,https://charts-static.billboard.com/img/2018/07/dan-shay-53q-53x53.jpg,20.0,catalog-albums
843,Cry Baby,Melanie Martinez,https://charts-static.billboard.com/img/2015/09/melanie-martinez-l59-cry-baby-tnd-53x53.jpg,33.0,catalog-albums
844,Greatest Hits,The Notorious B.I.G.,https://charts-static.billboard.com/img/2007/03/the-notorious-big-rts-greatest-hits-zqs-53x53.jpg,173.0,catalog-albums
845,All Time Greatest Hits,Lynyrd Skynyrd,https://charts-static.billboard.com/img/2002/04/lynyrd-skynyrd-hvs-all-time-greatest-hits-3bi-53x53.jpg,234.0,catalog-albums
846,Greatest Hits So Far...,Zac Brown Band,https://charts-static.billboard.com/img/2014/11/zac-brown-band-jc8-greatest-hits-so-far-mbj-53x53.jpg,132.0,catalog-albums
847,K.I.D.S. (Kickin Incredibly Dope Shit),Mac Miller,https://charts-static.billboard.com/img/2020/05/mac-miller-n1c-kids-kickin-incredibly-dope-shit-zz0-53x53.jpg,1.0,catalog-albums
848,Kane Brown,Kane Brown,https://charts-static.billboard.com/img/2016/12/kane-brown-ndj-kane-brown-6u3-53x53.jpg,20.0,catalog-albums
849,Starboy,The Weeknd,https://charts-static.billboard.com/img/2016/12/the-weeknd-pqn-starboy-6xr-53x53.jpg,36.0,catalog-albums
850,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,https://charts-static.billboard.com/img/2003/06/the-beach-boys-7ax-sounds-of-summer-the-very-best-of-the-beach-boys-tuo-53x53.jpg,217.0,catalog-albums
851,Beauty Behind The Madness,The Weeknd,https://charts-static.billboard.com/img/2015/09/the-weeknd-pqn-beauty-behind-the-madness-8yq-53x53.jpg,126.0,catalog-albums
852,Greatest Hits: God's Favorite Band,Green Day,https://charts-static.billboard.com/img/2017/12/green-day-qwn-53x53.jpg,3.0,catalog-albums
853,Their Greatest Hits 1971-1975,Eagles,https://charts-static.billboard.com/img/1976/03/eagles-co1-their-greatest-hits-19711975-53g-53x53.jpg,540.0,catalog-albums
854,The Essential Michael Jackson,Michael Jackson,https://charts-static.billboard.com/img/2005/08/michael-jackson-9to-the-essential-michael-jackson-elf-53x53.jpg,372.0,catalog-albums
855,"good kid, m.A.A.d city",Kendrick Lamar,https://charts-static.billboard.com/img/2012/11/kendrick-lamar-h1y-good-kid-maad-city-6bw-53x53.jpg,239.0,catalog-albums
856,2014 Forest Hills Drive,J. Cole,https://charts-static.billboard.com/img/2014/12/j-cole-s1s-2014-forest-hills-drive-bze-53x53.jpg,152.0,catalog-albums
857,Evolve,Imagine Dragons,https://charts-static.billboard.com/img/2017/07/imagine-dragons-wca-evolve-xpn-53x53.jpg,53.0,catalog-albums
858,The Eminem Show,Eminem,https://charts-static.billboard.com/img/2002/06/eminem-c16-the-eminem-show-ilv-53x53.jpg,283.0,catalog-albums
859,Greatest Hits,Bob Seger & The Silver Bullet Band,https://charts-static.billboard.com/img/1994/11/bob-seger-moj-greatest-hits-3ib-53x53.jpg,885.0,catalog-albums
860,1989,Taylor Swift,https://charts-static.billboard.com/img/2014/11/taylor-swift-70p-1989-y2x-53x53.jpg,161.0,catalog-albums
861,Hot Rocks 1964-1971,The Rolling Stones,https://charts-static.billboard.com/img/1972/01/the-rolling-stones-3a7-hot-rocks-19641971-jzb-53x53.jpg,71.0,catalog-albums
862,Greatest Hits,Red Hot Chili Peppers,https://charts-static.billboard.com/img/2003/12/red-hot-chili-peppers-c0t-greatest-hits-mir-53x53.jpg,160.0,catalog-albums
863,Thriller,Michael Jackson,https://charts-static.billboard.com/img/1982/12/michael-jackson-9to-thriller-4gd-53x53.jpg,459.0,catalog-albums
864,Doo-Wops & Hooligans,Bruno Mars,https://charts-static.billboard.com/img/2010/10/bruno-mars-va7-180x180.jpg,287.0,catalog-albums
865,Ctrl,SZA,https://charts-static.billboard.com/img/2017/07/sza-8os-ctrl-xqd-53x53.jpg,71.0,catalog-albums
866,The Very Best Of Daryl Hall  John Oates,Daryl Hall John Oates,https://charts-static.billboard.com/img/2011/01/daryl-hall-john-oates-000-the-very-best-of-daryl-hall-john-oates-zpy-53x53.jpg,51.0,catalog-albums
867,Golden Hour,Kacey Musgraves,https://charts-static.billboard.com/img/2018/04/kacey-musgraves-rch-golden-hour-n3t-53x53.jpg,19.0,catalog-albums
868,Blonde,Frank Ocean,https://charts-static.billboard.com/img/2016/09/frank-ocean-rv3-blonde-box-53x53.jpg,57.0,catalog-albums
869,50 Number Ones,George Strait,https://charts-static.billboard.com/img/2004/10/george-strait-ot6-50-number-ones-gb4-53x53.jpg,92.0,catalog-albums
870,Nevermind,Nirvana,https://charts-static.billboard.com/img/1991/10/nirvana-ezv-nevermind-nnk-53x53.jpg,188.0,catalog-albums
871,The Essential Elvis Presley,Elvis Presley,https://charts-static.billboard.com/img/2007/01/elvis-presley-nq7-the-essential-elvis-presley-jqg-53x53.jpg,30.0,catalog-albums
872,Number One Hits,Tim McGraw,https://charts-static.billboard.com/img/2010/12/tim-mcgraw-eb5-number-one-hits-rkp-53x53.jpg,40.0,catalog-albums
873,Victory Lap,Nipsey Hussle,https://charts-static.billboard.com/img/2018/03/nipsey-husle-000-victory-lap-2fw-53x53.jpg,21.0,catalog-albums
874,Metallica,Metallica,https://charts-static.billboard.com/img/1991/08/metallica-b7f-metallica-ea6-53x53.jpg,918.0,catalog-albums
875,YHLQMDLG,Bad Bunny,https://charts-static.billboard.com/img/2020/03/bad-bunny-qln-yhlqmdlg-miw-53x53.jpg,10.0,independent-albums
876,If I Know Me,Morgan Wallen,https://charts-static.billboard.com/img/2018/05/morgan-wallen-ur7-if-i-know-me-n46-53x53.jpg,40.0,independent-albums
877,MAP OF THE SOUL : 7,BTS,https://charts-static.billboard.com/img/2013/06/bts-4i5-53x53.jpg,11.0,independent-albums
878,Beyond Bulletproof,Mozzy,https://charts-static.billboard.com/img/2020/05/mozzy-uz7-beyond-bulletproof-2bf-53x53.jpg,1.0,independent-albums
879,Collection One,SAINt JHN,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,8.0,independent-albums
880,A Love Letter To You 4,Trippie Redd,https://charts-static.billboard.com/img/2019/12/trippie-redd-q58-a-love-letter-to-you-4-vg0-53x53.jpg,24.0,independent-albums
881,?,XXXTENTACION,https://charts-static.billboard.com/img/2018/03/xxxtentacion-dms--qbi-53x53.jpg,75.0,independent-albums
882,The Search,NF,https://charts-static.billboard.com/img/2019/08/nf-rht-the-search-1iq-53x53.jpg,25.0,independent-albums
883,Look Up Child,Lauren Daigle,https://charts-static.billboard.com/img/2018/09/lauren-daigle-vvo-look-up-child-897-53x53.jpg,69.0,independent-albums
884,ADHD,Joyner Lucas,https://charts-static.billboard.com/img/2020/04/joyner-lucas-vr8-adhd-6if-53x53.jpg,6.0,independent-albums
885,K.I.D.S. (Kickin Incredibly Dope Shit),Mac Miller,https://charts-static.billboard.com/img/2020/05/mac-miller-n1c-kids-kickin-incredibly-dope-shit-zz0-53x53.jpg,1.0,independent-albums
886,Where The Light Is,Surfaces,https://charts-static.billboard.com/img/2020/02/surfaces-000-where-the-light-is-t3c-53x53.jpg,13.0,independent-albums
887,kelsea,Kelsea Ballerini,https://charts-static.billboard.com/img/2020/04/kelsea-ballerini-n8l-kelsea-th4-53x53.jpg,7.0,independent-albums
888,PTSD,G Herbo,https://charts-static.billboard.com/img/2016/12/g-herbo-53x53.jpg,10.0,independent-albums
889,Lamentations,American Aquarium,https://charts-static.billboard.com/img/2020/05/american-aquarium-fa0-lamentations-8a0-53x53.jpg,1.0,independent-albums
890,17,XXXTENTACION,https://charts-static.billboard.com/img/2017/09/xxxtentacion-dms-17-dqg-53x53.jpg,44.0,independent-albums
891,~how i'm feeling~,Lauv,https://charts-static.billboard.com/img/2020/03/lauv-84o-~how-im-feeling~-o0y-53x53.jpg,9.0,independent-albums
892,X 100PRE,Bad Bunny,https://charts-static.billboard.com/img/2019/01/bad-bunny-kt8-x-100pre-pc1-53x53.jpg,22.0,independent-albums
893,Blonde,Frank Ocean,https://charts-static.billboard.com/img/2016/09/frank-ocean-rv3-blonde-box-53x53.jpg,39.0,independent-albums
894,A Decade Of Destruction,Five Finger Death Punch,https://charts-static.billboard.com/img/2017/12/five-finger-death-punch-kxm-a-decade-of-destruction-p7b-53x53.jpg,94.0,independent-albums
895,Love Yourself: Answer,BTS,https://charts-static.billboard.com/img/2013/06/bts-4i5-53x53.jpg,89.0,independent-albums
896,Making A Door Less Open,Car Seat Headrest,https://charts-static.billboard.com/img/2020/05/car-seat-headrest-qjm-making-a-door-less-open-f86-53x53.jpg,1.0,independent-albums
897,Perception,NF,https://charts-static.billboard.com/img/2017/10/nf-jgo-perception-20c-53x53.jpg,59.0,independent-albums
898,Purgatory,Tyler Childers,https://charts-static.billboard.com/img/2017/08/tyler-childers-j2u-purgatory-pz3-53x53.jpg,42.0,independent-albums
899,Rearview Town,Jason Aldean,https://charts-static.billboard.com/img/2018/04/jason-aldean-jfn-rearview-town-ixr-53x53.jpg,92.0,independent-albums
900,9,Jason Aldean,https://charts-static.billboard.com/img/2005/04/jason-aldean-uq3-53x53.jpg,24.0,independent-albums
901,BALLADS 1,Joji,https://charts-static.billboard.com/img/2018/11/joji-um7-53x53.jpg,23.0,independent-albums
902,It Was Divine,Alina Baraz,https://charts-static.billboard.com/img/2020/05/alina-baraz-ddo-it-was-divine-5sm-53x53.jpg,2.0,independent-albums
903,Life's A Trip,Trippie Redd,https://charts-static.billboard.com/img/2018/08/trippie-redd-q58-53x53.jpg,20.0,independent-albums
904,Jackboy,Jackboy,https://charts-static.billboard.com/img/2020/05/jackboy-000-jackboy-zst-53x53.jpg,2.0,independent-albums
905,"NCT #127: Neo Zone, The 2nd Album",NCT 127,https://charts-static.billboard.com/img/2016/07/nct-127-04h-53x53.jpg,9.0,independent-albums
906,Greatest Hits,Motley Crue,https://charts-static.billboard.com/img/2009/12/motley-crue-qt0-greatest-hits-gol-53x53.jpg,91.0,independent-albums
907,Freudian,Daniel Caesar,https://charts-static.billboard.com/img/2017/09/daniel-caesar-49w-freudian-xol-53x53.jpg,20.0,independent-albums
908,Tullahoma,Dustin Lynch,https://charts-static.billboard.com/img/2017/03/dustin-lynch-53x53.jpg,16.0,independent-albums
