chartmetric_artist_id,cpp_rank,spotify_popularity,spotify_followers,spotify_monthly_listeners,spotify_listeners_to_followers_ratio,facebook_likes,facebook_talks,youtube_channel_views,youtube_subscribers,wikipedia_views,soundcloud_followers
4365,14530.0,46,80260,259772.0,3.236630949,338061.0,172.0,7576012.0,49700.0,52.0,108603.0
1388771,6343.0,63,80270,1386563.0,17.273738632,,,,,2.0,238.0
1199177,14196.0,52,80276,484154.0,6.031117644,28818.0,16.0,,,622.0,
30573,48943.0,47,80278,107950.0,1.34470216,,,,,43.0,
60843,41932.0,47,80293,133664.0,1.664703025,8759.0,12.0,,,121.0,797.0
617114,18733.0,15,80299,3003.0,0.037397726,,,,,3166.0,
209760,36860.0,46,80313,167073.0,2.08027343,316251.0,188.0,33719516.0,,,
214472,18738.0,50,80316,388283.0,4.834441456,26080.0,20.0,780956.0,1590.0,181.0,
471929,49373.0,42,80320,82592.0,1.028286853,10304.0,6.0,2685298.0,5520.0,116.0,
212223,63115.0,42,80323,59466.0,0.7403358938,,,,,,
177569,100422.0,26,80341,16290.0,0.2027607324,,,,,,
208362,35235.0,46,80357,199727.0,2.485495974,,,131742.0,633.0,,
204719,8533.0,55,80365,240418.0,2.991575935,461426.0,504.0,9629277.0,159000.0,,
410969,18874.0,46,80406,174186.0,2.166330871,157128.0,4291.0,5323815.0,27400.0,,
664544,45282.0,42,80415,89612.0,1.11436921,99167.0,1384.0,15541375.0,131000.0,,7093.0
658887,21819.0,52,80434,339566.0,4.221672427,43673.0,59.0,6081436.0,30600.0,,5653.0
980,13766.0,51,80444,345793.0,4.298555517,1030734.0,5715.0,225415.0,922.0,205.0,
88896,716.0,50,80454,195219.0,2.426467298,10486144.0,741766.0,5631821668.0,13000000.0,52.0,1301.0
714397,10379.0,46,80461,153222.0,1.904301463,,,360939405.0,585000.0,15.0,
120291,42143.0,39,80467,71529.0,0.8889234095999999,,,,,731.0,
208982,10209.0,52,80468,313388.0,3.894566784,118219.0,73.0,3301849.0,14400.0,113.0,6022.0
20540,23278.0,58,80498,323001.0,4.0125344730000005,75059.0,1284.0,,,63.0,
316866,25836.0,49,80507,150502.0,1.869427503,47039.0,129.0,50484282.0,441000.0,659.0,
157157,13401.0,55,80515,559181.0,6.945053717,53650.0,1493.0,59011361.0,114000.0,,2080.0
156598,35583.0,47,80524,182178.0,2.262406239,40616.0,576.0,128302.0,265.0,11.0,
210451,36001.0,43,80581,156546.0,1.942716025,9599.0,52.0,4388022.0,40400.0,,12.0
323,3277.0,61,80583,2324859.0,28.850489557,53741.0,417.0,182026543.0,124000.0,406.0,
486119,47762.0,43,80587,96438.0,1.196694256,789604.0,7863.0,,,6.0,
1102054,54556.0,38,80623,62491.0,0.7751013979000001,2751.0,36.0,,,196.0,
627388,40757.0,44,80634,134256.0,1.665004837,498738.0,40401.0,5366345.0,47900.0,,
734404,55958.0,32,80644,53886.0,0.6681960220000001,9793.0,1.0,950614.0,13000.0,,47061.0
210528,32120.0,44,80652,197033.0,2.443002033,,,6459502.0,148000.0,110.0,
508700,5022.0,63,80658,1395493.0,17.301358824,5215.0,27.0,4886747.0,25500.0,32.0,9546.0
317407,38668.0,51,80663,129467.0,1.605035766,58059.0,1127.0,32467752.0,,13.0,240.0
262175,8957.0,48,80668,88145.0,1.092688551,2508476.0,125327.0,889868575.0,4910000.0,306.0,
2632,17003.0,51,80668,453228.0,5.618436059,57557.0,56.0,,6030.0,249.0,
54013,55936.0,39,80673,58181.0,0.7211954433,298805.0,1068.0,1361120.0,5680.0,104.0,
341172,34626.0,50,80675,168546.0,2.089197397,145953.0,229.0,9555534.0,32800.0,66.0,
715562,17563.0,54,80677,460808.0,5.711764195,3533322.0,752667.0,,,33.0,
208040,20394.0,48,80678,345969.0,4.288269417,137120.0,177.0,777178.0,16300.0,,79207.0
533836,36850.0,46,80684,171599.0,2.126803332,91025.0,2542.0,,,5.0,421.0
210611,4730.0,62,80684,1464863.0,18.155557484000003,45207.0,22.0,1502886.0,,30.0,89959.0
896487,3221.0,52,80687,233296.0,2.891370357,433.0,5.0,449779917.0,4800000.0,98.0,
255424,9145.0,44,80719,111204.0,1.377668207,69589.0,183.0,8981986.0,124000.0,9317.0,13385.0
468711,364.0,52,80730,147388.0,1.825690574,3291693.0,38955.0,13117667611.0,25700000.0,2634.0,
296627,36218.0,46,80741,159066.0,1.97007716,52602.0,1948.0,5866760.0,72800.0,9.0,745.0
468624,31364.0,48,80766,198656.0,2.459648862,1007299.0,5646.0,,,39.0,
