,artist,track,chart,tracks_uri,albums_uris,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity
1933,The Psychedelic Furs,House,greatest-alternative-songs,spotify:track:3wb8gABvLjAZ2gQXzcBkrI,spotify:album:4rsu1iCAXa6bLTi3SMJvT6,,0.148,https://api.spotify.com/v1/audio-analysis/3wb8gABvLjAZ2gQXzcBkrI,0.508,311973.0,0.814,3wb8gABvLjAZ2gQXzcBkrI,0.017,5.0,0.0864,-9.923,1.0,0.0364,137.298,4.0,https://api.spotify.com/v1/tracks/3wb8gABvLjAZ2gQXzcBkrI,audio_features,spotify:track:3wb8gABvLjAZ2gQXzcBkrI,0.57,26
1934,The Raconteurs,"Steady, As She Goes",greatest-alternative-songs,spotify:track:19iqWNzp5LwEdvntpEK8MP,spotify:album:4fDaiqpXlswOza10LvoZHb,,0.0132,https://api.spotify.com/v1/audio-analysis/19iqWNzp5LwEdvntpEK8MP,0.524,215267.0,0.578,19iqWNzp5LwEdvntpEK8MP,0.00921,9.0,0.108,-4.563,1.0,0.12,123.669,4.0,https://api.spotify.com/v1/tracks/19iqWNzp5LwEdvntpEK8MP,audio_features,spotify:track:19iqWNzp5LwEdvntpEK8MP,0.537,69
1935,Imagine Dragons,Thunder,greatest-alternative-songs,spotify:track:1zB4vmk8tFRmM9UULNzbLB,spotify:album:33pt9HBdGlAbRGBHQgsZsU,,0.00671,https://api.spotify.com/v1/audio-analysis/1zB4vmk8tFRmM9UULNzbLB,0.605,187147.0,0.822,1zB4vmk8tFRmM9UULNzbLB,0.134,0.0,0.147,-4.833,1.0,0.0438,167.997,4.0,https://api.spotify.com/v1/tracks/1zB4vmk8tFRmM9UULNzbLB,audio_features,spotify:track:1zB4vmk8tFRmM9UULNzbLB,0.288,84
1936,The Cure,High,greatest-alternative-songs,spotify:track:1G5cCZhEI67suiGvSWAiZz,spotify:album:0aEL0zQ4XLuxQP0j7sLlS1,,0.0193,https://api.spotify.com/v1/audio-analysis/1G5cCZhEI67suiGvSWAiZz,0.626,212840.0,0.718,1G5cCZhEI67suiGvSWAiZz,0.00102,11.0,0.0566,-12.05,0.0,0.0305,114.799,4.0,https://api.spotify.com/v1/tracks/1G5cCZhEI67suiGvSWAiZz,audio_features,spotify:track:1G5cCZhEI67suiGvSWAiZz,0.783,50
1937,System Of A Down,Aerials,greatest-alternative-songs,spotify:track:4e9eGQYsOiBcftrWXwsVco,spotify:album:6jWde94ln40epKIQCd8XUh,,0.000918,https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco,0.364,235053.0,0.922,4e9eGQYsOiBcftrWXwsVco,0.035,0.0,0.0696,-4.217,0.0,0.0566,79.342,4.0,https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco,audio_features,spotify:track:4e9eGQYsOiBcftrWXwsVco,0.227,73
1938,Gene Loves Jezebel,Jealous,greatest-alternative-songs,spotify:track:2B2LaSYqeSyLGgy6NRdXSQ,spotify:album:68sEF2g8cRMtrhcbR0Pf6d,,0.0121,https://api.spotify.com/v1/audio-analysis/2B2LaSYqeSyLGgy6NRdXSQ,0.576,231533.0,0.883,2B2LaSYqeSyLGgy6NRdXSQ,2.15e-05,2.0,0.365,-7.321,1.0,0.0365,98.599,4.0,https://api.spotify.com/v1/tracks/2B2LaSYqeSyLGgy6NRdXSQ,audio_features,spotify:track:2B2LaSYqeSyLGgy6NRdXSQ,0.453,22
1939,Counting Crows,Mr. Jones,greatest-alternative-songs,spotify:track:5DiXcVovI0FcY2s0icWWUu,spotify:album:4nKfZbCALT9H9LfedtDwnZ,,0.183,https://api.spotify.com/v1/audio-analysis/5DiXcVovI0FcY2s0icWWUu,0.578,272293.0,0.817,5DiXcVovI0FcY2s0icWWUu,3.06e-06,0.0,0.285,-6.542,1.0,0.0363,141.621,4.0,https://api.spotify.com/v1/tracks/5DiXcVovI0FcY2s0icWWUu,audio_features,spotify:track:5DiXcVovI0FcY2s0icWWUu,0.726,76
1940,The Verve,Bitter Sweet Symphony,greatest-alternative-songs,spotify:track:57iDDD9N9tTWe75x6qhStw,spotify:album:52AeC4gwbxDfFlLHgK1ByD,,0.0335,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw,0.356,357267.0,0.917,57iDDD9N9tTWe75x6qhStw,0.0,9.0,0.406,-6.006,1.0,0.0479,171.176,4.0,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,audio_features,spotify:track:57iDDD9N9tTWe75x6qhStw,0.518,78
1941,Elvis Costello,The Other Side Of Summer,greatest-alternative-songs,spotify:track:3VhR30dvSeXRljtSxQ9Av7,spotify:album:3vmHAjGpInUXzdjFmYOrIV,,0.0231,https://api.spotify.com/v1/audio-analysis/3VhR30dvSeXRljtSxQ9Av7,0.536,236027.0,0.72,3VhR30dvSeXRljtSxQ9Av7,0.0,2.0,0.0824,-9.194,1.0,0.0389,125.779,4.0,https://api.spotify.com/v1/tracks/3VhR30dvSeXRljtSxQ9Av7,audio_features,spotify:track:3VhR30dvSeXRljtSxQ9Av7,0.717,31
1942,Collective Soul,December,greatest-alternative-songs,spotify:track:3yi27cGUFPTQUdWZV9nV67,spotify:album:08mlRJfOvmReyulRoBkbyQ,,0.589,https://api.spotify.com/v1/audio-analysis/3yi27cGUFPTQUdWZV9nV67,0.684,285000.0,0.645,3yi27cGUFPTQUdWZV9nV67,0.00432,0.0,0.18,-5.707,1.0,0.0272,121.995,4.0,https://api.spotify.com/v1/tracks/3yi27cGUFPTQUdWZV9nV67,audio_features,spotify:track:3yi27cGUFPTQUdWZV9nV67,0.366,59
1943,Incubus,Anna-Molly,greatest-alternative-songs,spotify:track:0uLhNT7UIH3nZCCDZd3OBl,spotify:album:5WwXMygJ3dQXk3S6mDDfCH,,0.00428,https://api.spotify.com/v1/audio-analysis/0uLhNT7UIH3nZCCDZd3OBl,0.451,225880.0,0.973,0uLhNT7UIH3nZCCDZd3OBl,7.36e-06,8.0,0.0924,-2.611,1.0,0.0514,151.885,4.0,https://api.spotify.com/v1/tracks/0uLhNT7UIH3nZCCDZd3OBl,audio_features,spotify:track:0uLhNT7UIH3nZCCDZd3OBl,0.628,59
