cm_artist,artist_name,spotify_artist_id,itunes_artist_id,deezer_artist_id
3689576,PVRP Ghost,4kuoCjxoccFCG7goeOCMEF,,
3689575,Splashbakk,041TyGACwcDIuz8O37Zu1h,,
3689571,mampara78,4OVwWXpORApUqLC3ejU2P7,,
3689570,King RIZ,6ynHjDatDbqjtG4W85luE3,,
3689564,Mulitple Delusions,1leEcGRMHKdIskxmPwXg2m,,
3689557,Fikza,6e913YHOWuONELsHdpODuI,,
3689554,The Ghost Of Bela Legosi,18r3rSftzV34eM0iPBWPWr,,
3689502,Sala7,24wR1YH7DzIUE3r1noJkOp,,
3689500,Fanele Thee,26THKFUxrlDDlbAnDzicUl,,
3689455,Boco Benjamen,22wA5NNBT1IK0OCcS9NoDe,,
3689447,Pasos Sin Rumbo,5rjeMvKuaX4kpCYv3jmFL0,,
3689402,Sbace,3waavqlfgrJ7tHMLqlyBZz,,
3689391,Glucos,7JbSX4sdjsD3osM3FgLBIa,,
3689361,pĦ,3GSBKB7AXi1Bm624u3i7mp,,
3689348,Richard So Icey,1Y9ktOHI9N24boDXGTuqwN,,
3689321,SEB,1OeFgvqzrSGz81MSMz8QUL,,
3689314,QCR,3lyRYRNS4wuyyGHFfsMRNP,,
3689312,Nicole Chung,28MpsxSKlSd7vS58ghEh5Z,,
3689131,In Motion,0O6JEVmhlul0SNtGT4o9V0,,
3688943,Reefer CGN,4TSuQFv1XqlWgv0btLvcGz,,
3688897,Monmoi,0vETktlfdxf2XgVEXGKw1k,,
3688759,Iván Carrera,6RuSlfCU0FbAtWSQkq3TJ8,,
3688729,Explicitos,1jtf49sXJ02sTiOcSbb3eH,,
3688661,Forest Whisper,5NQGq4OT6r0VAjG2eX3kbl,,
3688655,Dany,02Vlf1Kd6WKqLaEYKQkKTz,,
3688615,Alexander Rabl,36e2pCWGXe9vqWDMJI5ozu,,
3688571,Hanek,25RrRuFimqgHtgrLJBibqt,,
3688491,Dani Hadad,4dplzww3ZxsFV5sNlOcYmn,,
3688486,Surrounding Life,7x0g29FUOlzLsQrKB0NioF,,
3688379,$khuchi.,1el8Vk3koV0gttHZuplhUW,,
3688372,Buddy,7bNa6QPYfeDwBMY6nVrbXo,,
3688361,ice cube,7fxdjTploulVqq6Z5LrlDl,,
3688264,El Padrino Del Genero,3w5Gwc24bXPuyIC4wKlo52,,
3688192,黃士祐,26kaAofrgpiXsupPHPEtzV,,
3688188,1906,51F0rlVCzXWobPjHHlJ8Wm,,
3688179,Trương Minh Thơ,55WgQBj1sFu86wGC63v5xv,,
3688175,แตงโม สยาภา,6HsFzjhQ84uSQkOvLMtRmU,,
3688160,Carol Rich,0SZf77OZxalQRgDbKxusRt,,
3688143,Los Nananina,0UMugEmXk7lzzjPcTbYIrk,,
3688124,BIF,4nsCBT1YB713BH6AzFTsfZ,,
3688090,Toto Riva y La Dupla,6cZP2MYfdkjhyHahd5agwr,,
3688037,洪俊威 － ACW,2kfzT8JAUo9KXfHgmtN7Sw,,
3688024,Lilfarao,4KLdQ0qVpsKvJ4pGyS1CKl,,
3687969,Den,0adwghvzKyreQaAw3LvdT7,,
3687952,Hyun.O 현.O,5BEk2nsjJqAixvmx79Znl2,,
3687915,Entrypelican,7nOJgMXWOpBKhh6qoSCNlq,,
3687896,Still Pink Nice Noise,7JXSTA1oAmfyKw8G5YNhmp,,
3687883,Infants Sleep Relief Sound,2lcmkQyNWZvVaRSeKaQqn2,,
3687869,Shipra Malhotra,7yJKwB6gqeu7ZPVLqB2HUe,,
3687819,Gipsybaby,4JrWdrDpwPBCFnXtNEiQjB,,
3687747,Реднакси,6yKfmVQVvtFuNGSj4icvnE,,
3687724,Tartus,6XarkyW3833duJ0VcSp8O3,,
3687698,Ramzes,7mdyN0N0ZCGyJC12W7hBlz,,
3687623,PURE,2u8Sm9jSnMvbZNUjsbeZIM,,
3687525,Sideshow Joe,2Rku2Qq0hhiOD440pp9ptF,,
3687506,Richco,2098yE8k5t0XF7tliHQqUd,,
3687499,LXXRY JET,5PDwlAPcWprKXqkulWaJw5,,
3687472,Utopian Concept,5HvYjWGyS1T4EDyehHsGyF,,
3687431,Uirlise,4pMXAKrbTgjSW7fJLsnmgS,,
3687422,Neecy,3eJk4RD4qvbjLeNDvJZF0c,,
3687237,Walter Van Vogue,2CkK4X9MzssUjx7p8A6D0i,,
3686935,João Silveira,3NKKPtLfsHGHP5H3huejx1,,
3684815,Harmonic Pathways,50w3lD1tVFon2IBD8jRBOO,,
3684804,Zedz Gfg,4vMwQLbeubm9Oh0UvUx1AG,,
3684799,Annonimo,4K21Ut6G30M9yG0LZO67c5,,
