,artist,track,chart,tracks_uri,albums_uris
61,StaySolidRocky,Party Girl,hot-100,spotify:track:5RqR4ZCCKJDcBLIn4sih9l,spotify:album:4NPX54YtocHqTOq6yXDEFM
62,Lil Baby,Social Distancing,hot-100,spotify:track:1RrQK0BIyxZaOooNDVSEaZ,spotify:album:6uhEg4ASZYLIilZFCBFy1r
63,NLE Choppa,Walk Em Down,hot-100,spotify:track:4cSSL3YafYjM3yjgFO1vJg,spotify:album:3EYg0XBIcyz3OvhIy7gsZQ
64,Kenny Chesney,Here And Now,hot-100,spotify:track:0NSwXfEWMG7HIRvXioGu03,spotify:album:0CBezlC6aZNKVf2554t53k
65,Ingrid Andress,More Hearts Than Mine,hot-100,spotify:track:0LcspVKJxhEQQSvVMiTPWz,spotify:album:4VMYwWFqX9vUv9otWLRRF5
66,Demi Lovato,I Love Me,hot-100,spotify:track:2IHLaN6wwYKQ3S24NsQqpA,spotify:album:3VKVZ7PvA64NtVJChPGDaH
67,JP Saxe,If The World Was Ending,hot-100,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,spotify:album:7BrlhEO8dHiNmU8A1Ep9RZ
68,Sam Smith ,I'm Ready,hot-100,spotify:track:1fipvP2zmef6vN2IwXfJhY,spotify:album:44msshHeN6irJ1md7GVSlU
69,Bad Bunny,Yo Perreo Sola,hot-100,spotify:track:0SqqAgdovOE24BzxIClpjw,spotify:album:5lJqux7orBlA1QzyiBGti1
70,Regard,Ride It.,hot-100,spotify:track:2tnVG71enUj33Ic2nFN6kZ,spotify:album:4zOhjJfe0dwqsNdDYk622E
71,H.E.R.,Slide,hot-100,spotify:track:2rTnVB1bvwxHtaIl4uVu7f,spotify:album:6b3LhhX9Lt2861Dsh3ZCC2
72,Miranda Lambert,Bluebird,hot-100,spotify:track:0kPeZAyIhIfeZNrtfjJGDB,spotify:album:5Or2XM0Gjy6Y8qlaERqsSn
73,JACKBOYS,Out West,hot-100,spotify:track:6gi6y1xwmVszDWkUqab1qw,spotify:album:1Sf8GsXG32t0jNrX11xqWx
74,Brett Young,Catch,hot-100,spotify:track:53cGGBxGPaRjP0HVUESyW5,spotify:album:3TJSHb2z7Zo2K8ff8bMSik
75,Jhene Aiko,P*$$y Fairy (OTW),hot-100,spotify:track:48KXAIruJ07kJVCWOGohMV,spotify:album:0NC1AcoK5y2cBLwzej6tqE
76,PARTYNEXTDOOR ,Believe It,hot-100,spotify:track:4HDCLYli2SUdkq9OjmvhSD,spotify:album:2T8UlI17u5hwTqu6zkpkW7
77,Lil Baby,Low Down,hot-100,spotify:track:5m0yZ33oOy0yYBtdTXuxQe,spotify:album:6uhEg4ASZYLIilZFCBFy1r
78,Eminem,Godzilla,hot-100,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,spotify:album:4otkd9As6YaxxEkIjXPiZ6
79,DaBaby,Jump,hot-100,spotify:track:0oT9ElXYSxvnOOagP9efDq,spotify:album:623PL2MBg50Br5dLXC9E9e
80,Don Toliver,After Party,hot-100,spotify:track:527k23H0A4Q0UJN3vGs0Da,spotify:album:7z4GhRfLqfSkqrj5F3Yt2B
81,Scotty McCreery,In Between,hot-100,spotify:track:4bZsLI9lZgSu3MN99kDbic,spotify:album:3OTNvYUGlsb091nCxTMRON
82,Lil Baby,Humble,hot-100,spotify:track:6heRfvHrUIIPx9TqRg8SCq,spotify:album:6uhEg4ASZYLIilZFCBFy1r
83,Luke Bryan,One Margarita,hot-100,spotify:track:6NhS5LwYbJ6xD7BGvlWRJO,spotify:album:6BOJ3r1s8u63at3Ou7HaVw
84,Lil Baby ,Grace,hot-100,spotify:track:01JMnRUs2YOK6DDpdQASGY,spotify:album:1ynyQdPQiXdYJNQEDL1S3d
85,Keith Urban,God Whispered Your Name,hot-100,spotify:track:53APQs3xZEz4DuXdusEjR9,spotify:album:5hVbe0jaL3ncemYgCTRxMb
