,artist,track,chart,tracks_uri,albums_uris
1370,Ellie Goulding,Lights,greatest-of-all-time-pop-songs,spotify:track:0hVrMKfi0RxAvAvN7tw0qD,spotify:album:6EDCkQfU9weNV2pPuHXBPh
1371,Nickelback,Far Away,greatest-of-all-time-pop-songs,spotify:track:0ADZ5dmXhlfzjMw6lefoPl,spotify:album:3eZd2XbhLyPcgbgcsLTZh3
1372,Chris Brown,Run It!,greatest-of-all-time-pop-songs,spotify:track:7xYnUQigPoIDAMPVK79NEq,spotify:album:49gaz5rhWWgqCw61M9700v
1373,Lady Gaga,Bad Romance,greatest-of-all-time-pop-songs,spotify:track:1U6biH7bX5p6cT8GGVlzR0,spotify:album:3oFoBe5cinHzjSI7bYn0Ia
1374,Taylor Swift,I Knew You Were Trouble.,greatest-of-all-time-pop-songs,spotify:track:6FB3v4YcR57y4tXFcdxI1E,spotify:album:4jTYApZPMapg56gRycOn0D
1375,The All-American Rejects,Gives You Hell,greatest-of-all-time-pop-songs,spotify:track:03UcMFvxO9jjLXtcMIp5K8,spotify:album:2wcL0WMtFpE1oHk8d9MXuK
1376,Hoobastank,The Reason,greatest-of-all-time-pop-songs,spotify:track:77loZpT5Y5PRP1S451P9Yz,spotify:album:2zE1YKY7Okj10Tjl09jjth
1377,Taio Cruz,Dynamite,greatest-of-all-time-pop-songs,spotify:track:2CEgGE6aESpnmtfiZwYlbV,spotify:album:0eGvq1J5Ke7VlLLOYIlY4k
1378,matchbox twenty,Bent,greatest-of-all-time-pop-songs,spotify:track:6fA7akEuTUL3dW1V0GELaZ,spotify:album:2HqQR5SkxWX7uUWaxlLksn
1379,Gym Class Heroes,Stereo Hearts,greatest-of-all-time-pop-songs,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,spotify:album:2mumCpGmuE9iDeOvMx6XrB
1380,Savage Garden,I Knew I Loved You,greatest-of-all-time-pop-songs,spotify:track:6nozDLxeL0TE4MS9GqYU1v,spotify:album:3w69KK7uEA8OsKuW3OeQcC
1381,Jesse McCartney,Leavin',greatest-of-all-time-pop-songs,spotify:track:20ORwCJusz4KS2PbTPVNKo,spotify:album:2tDCfKFy2YW9N0IwNSRdOJ
1382,OutKast,Hey Ya!,greatest-of-all-time-pop-songs,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,spotify:album:1UsmQ3bpJTyK6ygoOOjG1r
1383,Usher,DJ Got Us Fallin' In Love,greatest-of-all-time-pop-songs,spotify:track:4356Typ82hUiFAynbLYbPn,spotify:album:6A1F3Fkq5dYeYYNkXflcTX
1384,Flo Rida,Good Feeling,greatest-of-all-time-pop-songs,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,spotify:album:7eLwoxxWs6lfkVYJGkGNbk
1385,Justin Bieber,Love Yourself,greatest-of-all-time-pop-songs,spotify:track:4QH24Q4zBHGfEM7ApMGrUD,spotify:album:2STNuh1CzKUoKhpLfrtfld
1386,Vertical Horizon,Everything You Want,greatest-of-all-time-pop-songs,spotify:track:4cKGldbhGJniI8BrB3K6tb,spotify:album:2gJ6axVHAsQmmO6nslQRN1
1387,Taylor Swift,You Belong With Me,greatest-of-all-time-pop-songs,spotify:track:1GEBsLDvJGw7kviySRI6GX,spotify:album:3EzFY9Rg0PpbADMth746zi
1388,Nelly,Just A Dream,greatest-of-all-time-pop-songs,spotify:track:4cNGpyeUlu0yPJZWCBLynB,spotify:album:56HlvDFONO6eprIdh1H12c
1389,Pitbull,Give Me Everything,greatest-of-all-time-pop-songs,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,spotify:album:4rG0MhkU6UojACJxkMHIXB
1390,Linkin Park,In The End,greatest-of-all-time-pop-songs,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,spotify:album:6hPkbAV3ZXpGZBGUvL6jVM
1391,'N Sync,Bye Bye Bye,greatest-of-all-time-pop-songs,spotify:track:62bOmKYxYg7dhrC6gH9vFn,spotify:album:20RMokVwJ2wjQ0s8FOdOFC
1392,Shawn Mendes,Stitches,greatest-of-all-time-pop-songs,spotify:track:6goL9KKtC06eOgulVc8rer,spotify:album:4lNJ3BHTNl0OMbFKm4jMt7
1393,WALK THE MOON,Shut Up And Dance,greatest-of-all-time-pop-songs,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,spotify:album:3mNoFlD1wsoXfkljfFzExT
1394,Mariah Carey,DREAMLOVER,greatest-of-all-time-pop-songs,spotify:track:6HcQZfMrw3KwGyzrKw1Pjy,spotify:album:2NKxb7pk04CuZab5udkGUl
1395,Taylor Swift,Blank Space,greatest-of-all-time-pop-songs,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,spotify:album:1yGbNOtRIgdIiGHOEBaZWf
1396,Justin Timberlake,My Love,greatest-of-all-time-pop-songs,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,spotify:album:0tcExuDWMQdBbwSpqN8Ku2
1397,Shakira,Hips Don't Lie,greatest-of-all-time-pop-songs,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,spotify:album:5ppnlEoj4HdRRdRihnY3jU
1398,Evanescence,Bring Me To Life,greatest-of-all-time-pop-songs,spotify:track:0COqiPhxzoWICwFCS4eZcp,spotify:album:02w1xMzzdF2OJxTeh1basm
1399,Natasha Bedingfield,Unwritten,greatest-of-all-time-pop-songs,spotify:track:1D1nixOVWOxvNfWi0UD7VX,spotify:album:1meis09isQJFDA65afUTt8
1400,No Doubt,Underneath It All,greatest-of-all-time-pop-songs,spotify:track:4EzKmd0AYEYFiqD2bx90UI,spotify:album:2UXSy8F6NK0ACx3XX2Py2X
1401,Eminem,Lose Yourself,greatest-of-all-time-pop-songs,spotify:track:1v7L65Lzy0j0vdpRjJewt1,spotify:album:1rfORa9iYmocEsnnZGMVC4
1402,The Calling,Wherever You Will Go,greatest-adult-pop-songs,spotify:track:5QpaGzWp0hwB5faV8dkbAz,spotify:album:2Ir1mtE8K61cCNY5WQyKGV
1403,The Fray,How To Save A Life,greatest-adult-pop-songs,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,spotify:album:1IM3GwptCGYjRkzCBolyFK
1404,matchbox twenty,Unwell,greatest-adult-pop-songs,spotify:track:66s45uMhk7Y4z0xUgESdm3,spotify:album:07cWSvrkFTgaQGYh7M1cCt
1405,Jason Mraz,I'm Yours,greatest-adult-pop-songs,spotify:track:5smPViFYtztTo7ww9gJXpD,spotify:album:6ZImJQDuW7wnfP1NGJQptv
1406,Lifehouse,You And Me,greatest-adult-pop-songs,spotify:track:0815caqt2Lytro5EIzMufT,spotify:album:2hOY4rDu51XSBvtwfWgSmz
1407,Sister Hazel,All For You,greatest-adult-pop-songs,spotify:track:5fwCxKVai3LszSWFZ9AyA8,spotify:album:1CVJMhFsgCZeOMk2wQKnwL
1408,Colbie Caillat,Bubbly,greatest-adult-pop-songs,spotify:track:1lkvpmrCaXK8QtliFDcHBO,spotify:album:7a8mrq83VEf0PoFh6pvtsb
1409,Train,"Hey, Soul Sister",greatest-adult-pop-songs,spotify:track:4HlFJV71xXKIGcU3kRyttv,spotify:album:1CwXS6MAz8Wo7K4TzW9iuR
1410,Snow Patrol,Chasing Cars,greatest-adult-pop-songs,spotify:track:11bD1JtSjlIgKgZG2134DZ,spotify:album:6fb7z9rBdrjzpBTg1R1Bwp
1411,The Lumineers,Ho Hey,greatest-adult-pop-songs,spotify:track:1K3LRUEcUz5FMtPYyg0F45,spotify:album:0nRgsLe1she16l3pclpyy7
1412,The Fray,You Found Me,greatest-adult-pop-songs,spotify:track:4IoYz8XqqdowINzfRrFnhi,spotify:album:3ibdlhMmbFPMYoWvwHCzI3
1413,American Authors,Best Day Of My Life,greatest-adult-pop-songs,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,spotify:album:0V4laGZGshNCpurfIdUhHv
1414,Santana,Why Don't You & I,greatest-adult-pop-songs,spotify:track:43LdgobPlcCc5g9Kmactvy,spotify:album:5kkPOwoE9ItngbGIF6m3A4
1415,Kings Of Leon,Use Somebody,greatest-adult-pop-songs,spotify:track:5VGlqQANWDKJFl0MBG3sg2,spotify:album:5CZR6ljD0x9fTiS4mh9wMp
1416,Nickelback,Photograph,greatest-adult-pop-songs,spotify:track:3hb2ScEVkGchcAQqrPLP0R,spotify:album:3eZd2XbhLyPcgbgcsLTZh3
1417,John Mayer,Waiting On The World To Change,greatest-adult-pop-songs,spotify:track:5imShWWzwqfAJ9gXFpGAQh,spotify:album:1Xsprdt1q9rOzTic7b9zYM
1418,matchbox twenty,If You're Gone,greatest-adult-pop-songs,spotify:track:2f5N826udWfjT9iomeaBJt,spotify:album:2HqQR5SkxWX7uUWaxlLksn
1419,The Script,Breakeven,greatest-adult-pop-songs,spotify:track:38xWaVFKaxZlMFvzNff2aW,spotify:album:51Hn2Wiq1jmUfI0BLaUhuF
1420,Maroon 5,This Love,greatest-adult-pop-songs,spotify:track:6ECp64rv50XVz93WvxXMGF,spotify:album:5zClcGCSWj926AMjvBNSLc
1421,Maroon 5,She Will Be Loved,greatest-adult-pop-songs,spotify:track:4llK75pXNWZz6KAho2Gp16,spotify:album:5zClcGCSWj926AMjvBNSLc
1422,The Fray,Over My Head (Cable Car),greatest-adult-pop-songs,spotify:track:1N62wozuHCvczCkY4QidpP,spotify:album:1IM3GwptCGYjRkzCBolyFK
1423,P!nk,Just Give Me A Reason,greatest-adult-pop-songs,spotify:track:1mKXFLRA179hdOWQBwUk9e,spotify:album:2Q9oTK48eb85waX1fFJsvj
1424,Daughtry,It's Not Over,greatest-adult-pop-songs,spotify:track:1bxcras2MNcAwHesS1hu98,spotify:album:6hn4a3mFIw3FTUIVQWGSEE
1425,Kelly Clarkson,Stronger (What Doesn't Kill You),greatest-adult-pop-songs,spotify:track:1nInOsHbtotAmEOQhtvnzP,spotify:album:0VmE95pr5TSpZWucfyhO5e
1426,P!nk,Who Knew,greatest-adult-pop-songs,spotify:track:7uYl7xgDeAOHP98obvrJvB,spotify:album:6WlnnRa9jAPXhZEbvBvdxB
1427,Daniel Powter,Bad Day,greatest-adult-pop-songs,spotify:track:0mUyMawtxj1CJ76kn9gIZK,spotify:album:4zhigAhPwqp43XVHBiVeQI
1428,Passenger,Let Her Go,greatest-adult-pop-songs,spotify:track:7DFNE7NO0raLIUbgzY2rzm,spotify:album:2mylGx7w2Q3yhUyN8iEWOF
1429,Nickelback,Gotta Be Somebody,greatest-adult-pop-songs,spotify:track:06T10fEzN8ZCcqzQZYA184,spotify:album:0GQ9AZBJSj109gmSdSrviC
1430,Florida Georgia Line,Cruise,greatest-country-songs,spotify:track:5BhsEd82G0Mnim0IUH6xkT,spotify:album:2GSU4IGtDcY5kCXnCJbfNT
1431,Leroy Van Dyke,Walk On By,greatest-country-songs,spotify:track:2EI50XcYPyKjx4rGbgihAk,spotify:album:3ySIKxrYdx05VWEmVvPioL
1432,Hunter Hayes,Wanted,greatest-country-songs,spotify:track:0f1svjHSiaCJif6noKKVHa,spotify:album:4wg9qbqOVgnaA2eBGg74yK
1433,Sam Hunt,Take Your Time,greatest-country-songs,spotify:track:6DEaND0SHv3sC11xobZLiy,spotify:album:0V7c0hnrLUFJyHNtjiAT2E
1434,Jack Greene,There Goes My Everything,greatest-country-songs,spotify:track:4w6KzdRpUwyKfEf4vFLeiI,spotify:album:2JqYWLuq0XI2r23G42Jjjp
1435,Buck Owens,Love's Gonna Live Here,greatest-country-songs,spotify:track:0svhKL5JfIxASjbmEkxXKV,spotify:album:6c31q0EiGPqzNVDKfQzyzt
1436,C.W. McCall,Convoy,greatest-country-songs,spotify:track:6dGWq08LXuIw6T2oUeHECh,spotify:album:6XbZ0Hc2LQaLJuUaFrHfTY
1437,Keith Urban,Somebody Like You,greatest-country-songs,spotify:track:0b9djfiuDIMw1zKH6gV74g,spotify:album:1O87Gkgvc6QR1JRpMkgnE7
1438,Lonestar,Amazed,greatest-country-songs,spotify:track:6iNcyWk5iUEY7P9zeTc5hm,spotify:album:6FoiXUlfC8amjO8yqmYZM5
1439,Johnny Cash,Daddy Sang Bass,greatest-country-songs,spotify:track:15TITugVC8RrpLctHXOqT8,spotify:album:4E2eUhFHqTG2pu9MN1NDIF
1440,Charley Pride,Kiss An Angel Good Mornin',greatest-country-songs,spotify:track:37GWhu8R61gTStMvVQfDuE,spotify:album:0426RVFAsCAeiUcCOq0J1V
1441,Tim McGraw,Just To See You Smile,greatest-country-songs,spotify:track:2op0kDNARK2VHWHntEeH4g,spotify:album:36STfe5P9Cln52ch4nw3i9
1442,Connie Smith,Once A Day,greatest-country-songs,spotify:track:1guPCVBMmglx2m1DM0xOBu,spotify:album:6i8X0GmItZN7GOqIDTaXmb
1443,Tim McGraw,Live Like You Were Dying,greatest-country-songs,spotify:track:7B1QliUMZv7gSTUGAfMRRD,spotify:album:0os1Gz3XMM6dduZSMxVuXs
1444,Waylon Jennings,"Luckenbach, Texas (Back To The Basics Of Love)",greatest-country-songs,spotify:track:4WScDSwAa9m48pgHugVkCo,spotify:album:54cYJhrv7x97hbI047BxMO
1445,Mark Wills,19 Somethin',greatest-country-songs,spotify:track:0ElpjZyX8YBiXuYcDC1Ci9,spotify:album:5HvSGPXR4k3PHspJrJTIqw
1446,Tim McGraw,It's Your Love,greatest-country-songs,spotify:track:503sFkc8Y2eyGnM6cu8kHm,spotify:album:36STfe5P9Cln52ch4nw3i9
1447,George Strait,Check Yes Or No,greatest-country-songs,spotify:track:2eBwymbzVNIEdV1O20vQ7u,spotify:album:2CIOi72adKDDQpj9x69qpW
1448,Glen Campbell,Rhinestone Cowboy,greatest-country-songs,spotify:track:0gdXUywUk5P2cHCrpBH3ok,spotify:album:23Lqr6YXcILvNvbzIwqpOf
1449,Toby Keith,How Do You Like Me Now?!,greatest-country-songs,spotify:track:7LUh8A0YBIupw84N6PaWAI,spotify:album:2ZR5PK6hobhfSDNXfSbigo
1450,Dolly Parton,Here You Come Again,greatest-country-songs,spotify:track:6H7nDglS6xWpRidbhMwI2L,spotify:album:64yIGFoYJVg66fRXIxIYJr
1451,Rodney Atkins,If You're Going Through Hell (Before The Devil Even Knows),greatest-country-songs,spotify:track:7vSn3VNbzOtPebdj6ZSebj,spotify:album:5YG0aqiSCfhcWmW2KEsSWJ
1452,Alan Jackson,Chattahoochee,greatest-country-songs,spotify:track:59kHPbwyyCApYA8RQQEuXm,spotify:album:79yCfWigSGt94zi1CIkkJZ
1453,The Judds,Have Mercy,greatest-country-songs,spotify:track:4ifGkOIs51UGoWIDhJvaQg,spotify:album:5bssaJTxjs8S0dpc9GzFDj
1454,Ray Price,Heartaches By The Number,greatest-country-songs,spotify:track:361wxJRa6M2sH1Epy2MAC1,spotify:album:6KJrpAaoqXM9FYWJEM76LV
1455,Jack Greene,All The Time,greatest-country-songs,spotify:track:7MkV18tnSISu54sBM808hj,spotify:album:1yEKR5ylZFBPrUpawfXqfS
1456,Michael Johnson,Give Me Wings,greatest-country-songs,spotify:track:6AcyiMcTs6lymWtU6qcK19,spotify:album:6bCVzrXczEq3aMuZaRhiYG
1457,Alan Jackson ,It's Five O'Clock Somewhere,greatest-country-songs,spotify:track:5oHHMDcVOmPSFrCgdbHPdb,spotify:album:26w8J2SKCxa80Bwq6G8ctN
1458,Florida Georgia Line,This Is How We Roll,greatest-country-songs,spotify:track:2iT8p5HHGZoIgFME97V1fd,spotify:album:0tlygcp8NWY9Jfq80OFhA0
1459,Rodney Atkins,Watching You,greatest-country-songs,spotify:track:5OusUgzHz6Ulb3GZT7WUo5,spotify:album:5YG0aqiSCfhcWmW2KEsSWJ
1460,Lynn Anderson,Rose Garden,greatest-country-songs,spotify:track:5YwgJ6lpZ3SiAQwBEpjqey,spotify:album:2JItlMgM1n2GfKOmqYr8af
1461,David Houston,Almost Persuaded,greatest-country-songs,spotify:track:2Krnm3qWdy4VG5vTkT0cDn,spotify:album:0zOZyQFw8zR4hFAMyM92tk
1462,Jason Aldean,Burnin' It Down,greatest-country-songs,spotify:track:4f3ocvNFdJMmGP04kskM2J,spotify:album:2RIu1R2av2tWEu2MloUE6u
1463,Craig Morgan,That's What I Love About Sunday,greatest-country-songs,spotify:track:1fmi1hOBtH8xfUiWz4LVtE,spotify:album:4ovUdHrbzwtbtKMyU997Hl
1464,Kenny Chesney,The Good Stuff,greatest-country-songs,spotify:track:1EKiQ1InQXuodp4M1idrng,spotify:album:2d4eS9a7DRTlfeTKVJQ0kr
1465,Henson Cargill,Skip A Rope,greatest-country-songs,spotify:track:2kzVFcp3kSU1Qld4dYBM7L,spotify:album:5tSfvArzn1TQdXx2UKJlv0
1466,Larry Gatlin ,Houston (Means I'm One Day Closer To You),greatest-country-songs,spotify:track:774cWB9vjXE8A3QCtvLvUA,spotify:album:53oUssFnxARaL4zSiw5AvL
1467,Keith Whitley,When You Say Nothing At All,greatest-country-songs,spotify:track:1G60o2g78glgxC0No8SsvQ,spotify:album:3hDqwanFIlVP5dRMWj8dhZ
1468,Conway Twitty,Hello Darlin',greatest-country-songs,spotify:track:0LBpa0uUaRqqecJhAs1p7u,spotify:album:4jIT1aEUj9eHfFVBPrO9nj
1469,George Strait,"Love Without End, Amen",greatest-country-songs,spotify:track:4pFNWAU8e8F32NQkMyLAZi,spotify:album:56kF3zaRZS3BO1eNiyBLtO
1470,Toby Keith,As Good As I Once Was,greatest-country-songs,spotify:track:6zlgG0H6AZZdM61zRfZ2pX,spotify:album:23Lqr6YXcILvNvbzIwqpOf
1471,Ferlin Husky,Wings Of A Dove,greatest-country-songs,spotify:track:2DD8OhehvkzSFeoRW0u7Gb,spotify:album:6HMxJGDVtEsqpeOJlJHNhH
1472,Eddie Rabbitt,Every Which Way But Loose,greatest-country-songs,spotify:track:73xcnqBwjnGwAlrfBomLP3,spotify:album:6QkVGhAnrjHauwCSYuTuI8
1473,T.G. Sheppard,Party Time,greatest-country-songs,spotify:track:6hlvRaZM1U279W3rVkQ9qY,spotify:album:6J6IoDmM8Ls9koPtdm11Yu
1474,Brooks ,My Maria,greatest-country-songs,spotify:track:09qzRI951OVkXGCc33gzcT,spotify:album:1ZXM9jY3Bsg12KXgwftBrO
1475,Josh Turner,Why Don't We Just Dance,greatest-country-songs,spotify:track:2p07VcUwRZ5sru3mJ0JogS,spotify:album:4AwUix40p2isD6wvEBPpQ8
1476,Tim McGraw,"I Like It, I Love It",greatest-country-songs,spotify:track:3IvcWWehbBcBR4YZxlGM9R,spotify:album:6l9E1hjtJqivhVIageAWM8
1477,Faron Young,Country Girl,greatest-country-songs,spotify:track:7w3YZLWL8l11US6FMMLOGq,spotify:album:26KWAh3Wvw9LjeyxjTEZqa
1478,Carrie Underwood,Before He Cheats,greatest-country-songs,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,spotify:album:0kys2jaKAiDPfNBd4z7LAg
1479,Red Sovine,Giddyup Go,greatest-country-songs,spotify:track:6fZUCxyaLxjO6B2QJyTHQA,spotify:album:48aF0MyVsxQgWYBF9SUR4k
1480,Collin Raye,"Love, Me",greatest-country-songs,spotify:track:5cCLKP66G2PJEorzYQVXHR,spotify:album:4FpmJIF1jrWpgKaSp7jWmA
1481,Johnny Lee,Lookin' For Love,greatest-country-songs,spotify:track:5Q3ISsyRMCPR6Y34byHj3x,spotify:album:182iGmARdlQppVRBr6gWX9
1482,John Anderson,Black Sheep,greatest-country-songs,spotify:track:5EPQbU0wk70Btiu9onZR48,spotify:album:2cWX0i12WDcbP8Gp6cACvS
1483,Merle Haggard,Big City,greatest-country-songs,spotify:track:7MYCBhcWtRSJ7YXTfIHlI8,spotify:album:1JWqodXuHDoGHqxyATcPJb
1484,Steve Holy,Good Morning Beautiful,greatest-country-songs,spotify:track:0eHT8N5YQglv8cYYizXvSw,spotify:album:3xivtrhzLC6LMEu9W56gvw
1485,Randy Travis,It's Just A Matter Of Time,greatest-country-songs,spotify:track:4ON9pkEiboV83FUHkeIxGp,spotify:album:7IXbCht6SXIAww7H3GmwLP
1486,Shenandoah,Two Dozen Roses,greatest-country-songs,spotify:track:0e05wFNr6zg1ULcp4NKs1p,spotify:album:53ggnni69yCjLQIboZCc3e
1487,Merle Haggard,If We Make It Through December,greatest-country-songs,spotify:track:4sTlOOWxFx5dR7SZmi7S79,spotify:album:1zV3LT0oE6DW2BWnrNOXf8
1488,Thomas Rhett,Die A Happy Man,greatest-country-songs,spotify:track:6uTb5oNK9RkTjxmh73W7MG,spotify:album:5EJgQd6IcN7xvdmpARRk5b
1489,Charlie Rich,There Won't Be Anymore,greatest-country-songs,spotify:track:3RRKZ8a8SCtiPZ5qdK2Hos,spotify:album:4GvkVUwv0zvLJvxmhaw0uJ
1490,Blake Shelton,God Gave Me You,greatest-country-songs,spotify:track:68Pux358EOhXmQqln37bj4,spotify:album:7qyfoJ9YCVfBnePdxBFbhx
1491,Buck Owens,My Heart Skips A Beat,greatest-country-songs,spotify:track:1jGa3ZVWNhqes22ZoVBfOJ,spotify:album:6c31q0EiGPqzNVDKfQzyzt
1492,David Houston,"Baby, Baby (I Know You're A Lady)",greatest-country-songs,spotify:track:2As4aDA91Z3CGKzU0gSHid,spotify:album:19xvzwcaYqcGYxBOEYERuw
1493,Charley Pride,(I'm So) Afraid Of Losing You Again,greatest-country-songs,spotify:track:44cnTWrY1GPOkoq5WS0ooF,spotify:album:4G5CAz63z70mkeY5fRHgnb
1494,Patsy Cline,I Fall To Pieces,greatest-country-songs,spotify:track:6zFsz86nAj5gcvzyVqNL3k,spotify:album:54Ykk8Gg8TuHjLbYvErsKh
1495,Joe Diffie,Pickup Man,greatest-country-songs,spotify:track:3QvOV1QYPPre7gjppKyeON,spotify:album:6CUTxBQse7shPPF33yCRd0
1496,James Otto,Just Got Started Lovin' You,greatest-country-songs,spotify:track:4b0XF7CDpJEBAdVHMw7amV,spotify:album:79uExtsVJH2aNcS2Xu4Cim
1497,Taylor Swift,Our Song,greatest-country-songs,spotify:track:43H3q2NWT9LCuYS1B5IUvV,spotify:album:2rU7u7C2v5i45MFVxx7xG1
1498,Little Big Town,Girl Crush,greatest-country-songs,spotify:track:11qh54D0PKkBwelpDxxiEU,spotify:album:49lwR8y1i51wrQRnhw5C3H
1499,Clint Black,Killin' Time,greatest-country-songs,spotify:track:4H2TRR9FjnnIwxGnIt9stO,spotify:album:3fsGT85qu4Jhvs9htCgygz
1500,Jerry Wallace,If You Leave Me Tonight I'Ll Cry,greatest-country-songs,spotify:track:3IrMBPCdWq5luadmICJqqs,spotify:album:0w910mO4DOMTcnSWUSePUS
1501,The Judds,Cry Myself To Sleep,greatest-country-songs,spotify:track:3tOAosF0Ykfbdl8HwQGqZZ,spotify:album:5bssaJTxjs8S0dpc9GzFDj
1502,Hank Williams Jr.,Mind Your Own Business,greatest-country-songs,spotify:track:4raGevWiW8i1gactXulebp,spotify:album:2mUqVFSr5l4W2Hpm8t3Gfm
1503,The Judds,Why Not Me,greatest-country-songs,spotify:track:6BkK5Dsu1kTne7Cn6EyYex,spotify:album:7ddhrJqVCguGmLhvffzxkA
1504,George Strait,You Look So Good In Love,greatest-country-songs,spotify:track:0J3AaAp2XKLhfvNNYE6iie,spotify:album:4tNMkO2t6XfbA9BC8ZcgT2
1505,Alabama,High Cotton,greatest-country-songs,spotify:track:2KEu2z1f7TakR3KY4jGLzl,spotify:album:1jafIRrPVaBkcwl3TC0C8T
1506,Johnny Duncan,Thinkin' Of A Rendezvous,greatest-country-songs,spotify:track:4bZkWUNAkyQuB5WS7XdGMj,spotify:album:3BagFmNBhlXOOtCoaZ4iMk
1507,Jim Reeves,This Is It,greatest-country-songs,spotify:track:5hXd2WtIKO74SubHzjkTHW,spotify:album:3ledIn54AFqn7qORaYBMWF
1508,Waylon ,Good Hearted Woman,greatest-country-songs,spotify:track:3CqLvQ9fPOLtLIKb7r5ti6,spotify:album:6LfMo33TDWL0KlwXu6JVJa
1509,Garth Brooks,Garth Brooks,greatest-country-albums,spotify:track:7AzcVq1aqw5woHHBUM7Sao,spotify:album:2x61BUydbqJJ1VR6arFolT
1510,Randy Travis,Always & Forever,greatest-country-albums,spotify:track:52xEnypBQMY7ZHQsS6OF43,spotify:album:2pmdwyaWnXIu5LfF0pVYt4
1511,Charlie Rich,Behind Closed Doors,greatest-country-albums,spotify:track:6d7Jz2np6jtNaZv1DiWfJs,spotify:album:08pcOepE6bfonEfT07TUmL
1512,Randy Travis,Storms Of Life,greatest-country-albums,spotify:track:2tgUWUgaOdfifOyZaobRib,spotify:album:6rOVPyzQ5s7cUUyHHplESf
1513,Alabama,Feels So Right,greatest-country-albums,spotify:track:3ZQ7bFBquNdzelPHbzwJd6,spotify:album:1jafIRrPVaBkcwl3TC0C8T
1514,Tim McGraw,Not A Moment Too Soon,greatest-country-albums,spotify:track:2UkIpSe2slw66MpmsP4Rdb,spotify:album:18eJ4H4smFp29lRMsLygUc
1515,Willie Nelson,Stardust,greatest-country-albums,spotify:track:7iyd0aOJ2J54hENgLeGxCk,spotify:album:38uGoW7jS8jjJMvZA26sRq
1516,Zac Brown Band,The Foundation,greatest-country-albums,spotify:track:3R8XBHHIhlzJo65YFgp0Z2,spotify:album:5GP6INOrUkZJyXOqoTUlxZ
1517,Kenny Rogers,The Gambler,greatest-country-albums,spotify:track:5KqldkCunQ2rWxruMEtGh0,spotify:album:3XdvQjIMjdwxRivZrg1ziJ
1518,Rascal Flatts,Feels Like Today,greatest-country-albums,spotify:track:0PprD6oGodYXihViAHuoOc,spotify:album:5NH87jdrVjOHt8gDMHT1Wy
1519,Alabama,Mountain Music,greatest-country-albums,spotify:track:68SAQUzxfEW1eKxZvhDDEm,spotify:album:4UUE6qWrIn7L54UZxv0DDQ
1520,Kenny Chesney,"No Shoes, No Shirt, No Problems",greatest-country-albums,spotify:track:208bYsadJ56km31IENM2qS,spotify:album:28fqmcfV4mpPsqhdNKUeTc
1521,Ray Price,For The Good Times,greatest-country-albums,spotify:track:4cIGNFaKpoVuJfVvixS0mU,spotify:album:5ficfpIRTeXi6BRePNGQCQ
1522,Soundtrack,Coyote Ugly,greatest-country-albums,spotify:track:3xoKuLqPjYoVrHXlA9kQTd,spotify:album:3AU2w0xsC7ui1pFUa2LSoV
1523,Kenny Chesney,When The Sun Goes Down,greatest-country-albums,spotify:track:5vLonpxn4VN0A8GtQOBSG0,spotify:album:052CF6cpp0nAH67yuUrIp7
1524,Shania Twain,Up!,greatest-country-albums,spotify:track:5oqiovQufNFDhA2PpvsaCF,spotify:album:0dXnuPLFLPT9fnj6vIUa1G
1525,Charley Pride,The Best Of Charley Pride,greatest-country-albums,spotify:track:7FfuTyWvzc35GbSrCa5rls,spotify:album:3g5zgP29wWtxS9xY7AUhNe
1526,Johnny Cash,Johnny Cash At San Quentin,greatest-country-albums,spotify:track:54Ws56PDXVIQZhu3TLlf5p,spotify:album:7KOZivQqRbfrKEsd5Hx9Ir
1527,Randy Travis,Old 8 X 10,greatest-country-albums,spotify:track:3rrEBjKF6KR7hjxNAgvH6R,spotify:album:7vc42OZvG6c1vTz7GOmzTh
1528,Tim McGraw,Everywhere,greatest-country-albums,spotify:track:7FtR6v3aRSQc0FrkBdmDea,spotify:album:36STfe5P9Cln52ch4nw3i9
1529,Alan Jackson,A Lot About Livin' (And A Little 'Bout Love),greatest-country-albums,spotify:track:6THv7c4L5lZmA0H0O2fR7b,spotify:album:79yCfWigSGt94zi1CIkkJZ
1530,Eric Church,The Outsiders,greatest-country-albums,spotify:track:1VN6TvmHTIWvLzBAOmre6P,spotify:album:7Ad3sRoSJmRcjtd5Ce27Oj
1531,George Strait,Pure Country (Soundtrack),greatest-country-albums,spotify:track:6FHXJu99aQAUnivEjPhuUR,spotify:album:5K0Ic5xrsWbWzlDFse0KCX
