,track,artist,art_genres,chart,tracks_uri,albums_uris,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1472,Every Which Way But Loose,Eddie Rabbitt,"['classic country pop', 'country', 'country rock', 'mellow gold']",greatest-country-songs,spotify:track:73xcnqBwjnGwAlrfBomLP3,spotify:album:6QkVGhAnrjHauwCSYuTuI8,53,0.458,0.598,0.483,7.88e-06,7.0,0.36,-7.474,1.0,0.0292,130.663,4.0,0.452
1473,Party Time,T.G. Sheppard,"['classic country pop', 'country', 'country rock']",greatest-country-songs,spotify:track:6hlvRaZM1U279W3rVkQ9qY,spotify:album:6J6IoDmM8Ls9koPtdm11Yu,46,0.527,0.586,0.535,0.0162,5.0,0.143,-11.517,1.0,0.0274,99.799,4.0,0.759
1474,My Maria,Brooks ,[],greatest-country-songs,spotify:track:09qzRI951OVkXGCc33gzcT,spotify:album:1ZXM9jY3Bsg12KXgwftBrO,68,0.06,0.673,0.842,0.000257,3.0,0.184,-4.627,1.0,0.0365,125.571,4.0,0.897
1475,Why Don't We Just Dance,Josh Turner,"['contemporary country', 'country', 'country road', 'modern country rock']",greatest-country-songs,spotify:track:2p07VcUwRZ5sru3mJ0JogS,spotify:album:4AwUix40p2isD6wvEBPpQ8,67,0.42,0.677,0.776,0.000689,5.0,0.0954,-5.933,1.0,0.0386,121.834,4.0,0.642
1476,"I Like It, I Love It",Tim McGraw,"['contemporary country', 'country', 'country road']",greatest-country-songs,spotify:track:3IvcWWehbBcBR4YZxlGM9R,spotify:album:6l9E1hjtJqivhVIageAWM8,67,0.0196,0.643,0.961,0.0,0.0,0.948,-5.298,1.0,0.0315,124.027,4.0,0.96
1477,Country Girl,Faron Young,"['classic country pop', 'honky tonk', 'traditional country']",greatest-country-songs,spotify:track:7w3YZLWL8l11US6FMMLOGq,spotify:album:26KWAh3Wvw9LjeyxjTEZqa,40,0.791,0.604,0.441,0.0,5.0,0.249,-9.474,1.0,0.0352,128.32,4.0,0.795
1478,Before He Cheats,Carrie Underwood,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'oklahoma country', 'pop', 'post-teen pop']",greatest-country-songs,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,spotify:album:0kys2jaKAiDPfNBd4z7LAg,74,0.271,0.519,0.749,0.0,6.0,0.119,-3.318,0.0,0.0405,147.905,4.0,0.29
1479,Giddyup Go,Red Sovine,['truck-driving country'],greatest-country-songs,spotify:track:6fZUCxyaLxjO6B2QJyTHQA,spotify:album:48aF0MyVsxQgWYBF9SUR4k,20,0.59,0.567,0.641,0.0,1.0,0.32,-9.236,1.0,0.212,86.962,4.0,0.546
1480,"Love, Me",Collin Raye,"['arkansas country', 'country', 'country road', 'country rock']",greatest-country-songs,spotify:track:5cCLKP66G2PJEorzYQVXHR,spotify:album:4FpmJIF1jrWpgKaSp7jWmA,56,0.742,0.686,0.234,0.0,0.0,0.145,-12.646,1.0,0.0295,106.581,4.0,0.342
1481,Lookin' For Love,Johnny Lee,"['classic country pop', 'country', 'country rock']",greatest-country-songs,spotify:track:5Q3ISsyRMCPR6Y34byHj3x,spotify:album:182iGmARdlQppVRBr6gWX9,1,0.51,0.734,0.394,6.38e-05,2.0,0.287,-15.492,1.0,0.0319,123.819,4.0,0.768
1482,Black Sheep,John Anderson,"['country', 'country road', 'country rock']",greatest-country-songs,spotify:track:5EPQbU0wk70Btiu9onZR48,spotify:album:2cWX0i12WDcbP8Gp6cACvS,50,0.402,0.596,0.626,0.0,7.0,0.0498,-12.945,1.0,0.0634,155.556,4.0,0.962
1483,Big City,Merle Haggard,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",greatest-country-songs,spotify:track:7MYCBhcWtRSJ7YXTfIHlI8,spotify:album:1JWqodXuHDoGHqxyATcPJb,55,0.275,0.707,0.401,0.000296,4.0,0.201,-14.222,1.0,0.0533,136.188,4.0,0.602
1484,Good Morning Beautiful,Steve Holy,"['contemporary country', 'country', 'country road', 'modern country rock']",greatest-country-songs,spotify:track:0eHT8N5YQglv8cYYizXvSw,spotify:album:3xivtrhzLC6LMEu9W56gvw,54,0.452,0.565,0.5,0.0,7.0,0.137,-8.822,1.0,0.031,70.984,4.0,0.242
1485,It's Just A Matter Of Time,Randy Travis,"['country', 'country gospel', 'country road', 'country rock']",greatest-country-songs,spotify:track:4ON9pkEiboV83FUHkeIxGp,spotify:album:7IXbCht6SXIAww7H3GmwLP,46,0.472,0.259,0.59,0.00128,3.0,0.135,-8.343,1.0,0.0363,201.016,3.0,0.474
