,artist,uri,followers,genres,popularity,spotify_id,chart
2371,Die Schlagerpiloten,spotify:artist:4dPBs7JK312RAU6OcdVrHq,1518,['schlager'],40,4dPBs7JK312RAU6OcdVrHq,german-albums
2372,Kerstin Ott,spotify:artist:1F30RWETubxDmbyfxeVPg7,209467,"['german pop', 'partyschlager', 'schlager']",63,1F30RWETubxDmbyfxeVPg7,german-albums
2373,Santiano,spotify:artist:6E9zde1CFsBtKI66OEHkk3,244040,"['german pop', 'german rock']",63,6E9zde1CFsBtKI66OEHkk3,german-albums
2374,Nightwish,spotify:artist:2NPduAUeLVsfIauhRwuft1,1284973,"['finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'power metal', 'symphonic metal']",72,2NPduAUeLVsfIauhRwuft1,german-albums
2375,Samra,spotify:artist:6h1s4i4XKIYv4ErDelLDN0,652854,['german hip hop'],83,6h1s4i4XKIYv4ErDelLDN0,german-albums
2376,Eleftheria Arvanitaki,spotify:artist:4wfucl2s2farNOAmxZAVTC,24791,"['entehno', 'greek indie', 'greek pop', 'laiko']",42,4wfucl2s2farNOAmxZAVTC,greece-albums
2377,Thodoris Voutsikakis,spotify:artist:4VD99m50LcC4a0FttlZb0w,313,[],19,4VD99m50LcC4a0FttlZb0w,greece-albums
2378,Minos Matsas,spotify:artist:5WZwrHx8d5nKJNiD7mIj7B,427,['entehno'],26,5WZwrHx8d5nKJNiD7mIj7B,greece-albums
2379,Stelios Salvador,spotify:artist:5PGqWqk9RVN3f6wjVbWj93,119,[],15,5PGqWqk9RVN3f6wjVbWj93,greece-albums
2380,Manos Hadjidakis,spotify:artist:4epy8uB6icBmTU3VoMwVzG,16732,"['bouzouki', 'classic greek pop', 'entehno', 'greek contemporary classical', 'laiko', 'neo kyma']",41,4epy8uB6icBmTU3VoMwVzG,greece-albums
2381,Ghali,spotify:artist:3egWSWp7Y4FyCKIyvXbw7L,2339965,"['italian hip hop', 'milan indie', 'rap tunisien']",75,3egWSWp7Y4FyCKIyvXbw7L,italy-albums
2382,Dani Faiv,spotify:artist:0ffKEtMDnROKWyJtXUnLbJ,246445,['italian hip hop'],71,0ffKEtMDnROKWyJtXUnLbJ,italy-albums
2383,Marracash,spotify:artist:5AZuEF0feCXMkUCwQiQlW7,980994,"['italian hip hop', 'italian underground hip hop', 'rap napoletano']",76,5AZuEF0feCXMkUCwQiQlW7,italy-albums
2384,tha Supreme,spotify:artist:19i93sA0D7yS9dYoVNBqAA,783945,"['italian hip hop', 'trap italiana']",78,19i93sA0D7yS9dYoVNBqAA,italy-albums
2385,Pinguini Tattici Nucleari,spotify:artist:6RdcIWVKYYzNzjQRd3oyHS,189589,"['italian alternative', 'italian arena pop', 'milan indie']",68,6RdcIWVKYYzNzjQRd3oyHS,italy-albums
2386,Ultimo,spotify:artist:3hN3iJMbbBmqBSAMx5veDa,1849467,"['italian arena pop', 'italian pop']",72,3hN3iJMbbBmqBSAMx5veDa,italy-albums
2387,GAIA,spotify:artist:5ARxA6RdfBQTi9qaAEplM1,10034,"['brazilian reggae', 'shamanic']",32,5ARxA6RdfBQTi9qaAEplM1,italy-digital-song-sales
2388,Ermal Meta,spotify:artist:4XWTdNlsP8jqo5BDn5hgmd,443550,"['italian arena pop', 'italian pop']",55,4XWTdNlsP8jqo5BDn5hgmd,italy-digital-song-sales
2389,Mr Rain,spotify:artist:59MLbXG0jLVwJup3KAd6m1,513901,"['italian arena pop', 'italian hip hop']",69,59MLbXG0jLVwJup3KAd6m1,italy-digital-song-sales
2390,Loredana Errore,spotify:artist:1udn9BOYUZzYFkXVjdw1z1,7177,"['italian pop', 'italian pop rock']",37,1udn9BOYUZzYFkXVjdw1z1,italy-digital-song-sales
2391,Achille Lauro,spotify:artist:0lI3rF4hi4op6UxqlLHPzv,489457,"['italian alternative', 'italian hip hop', 'italian pop']",69,0lI3rF4hi4op6UxqlLHPzv,italy-digital-song-sales
2392,Pablo Lopez,spotify:artist:4uyqaioPEdClDxU6zvYlAZ,526563,['spanish pop'],64,4uyqaioPEdClDxU6zvYlAZ,spain-digital-song-sales
