artist,uri,followers,genres,popularity,decade,is_recommended,billboard
Los Teen Tops,spotify:artist:14GfQ6EEHnp1lTAWHgtcYy,75875,"['bolero', 'mexican classic rock', 'mexican rock-and-roll', 'ranchera', 'rockabilly en espanol']",50,1960.0,1,
Don Hinson ,spotify:artist:6GNXV11gvYYegW2APslNlN,2319,['halloween'],17,1960.0,1,
Nelson Gonçalves,spotify:artist:2wi99swSP87YaFjVOI3zGJ,134497,"['bossa nova', 'brega', 'forro', 'mpb', 'samba', 'velha guarda']",49,1960.0,1,
Jim Reeves,spotify:artist:2Ev0e8GUIX4u7d9etNLTXg,212275,"['adult standards', 'nashville sound']",59,1960.0,1,
Paulinho Nogueira,spotify:artist:5ReVxzuREWusYE4ovnMbBn,14590,"['bossa nova', 'brazilian composition', 'choro', 'velha guarda', 'violao']",38,1960.0,1,
Charles Aznavour,spotify:artist:2hgP9Ap2tc10R5jrQaEpMT,550984,['chanson'],66,1960.0,0,
Victor Jara,spotify:artist:440MEFxEmF9othCXbz3Y6a,202172,"['andean', 'cantautor', 'nueva cancion', 'trova']",51,1960.0,1,
Neil Sedaka,spotify:artist:5N6GwJzOcOY5kv8p0NjhYL,255295,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rockabilly', 'soft rock']",60,1960.0,1,
David Lindup,spotify:artist:6ZdZ5KLXDClqCitUzR52TR,655,"['library music', 'spytrack']",20,1960.0,1,
Jerry Landis,spotify:artist:1HivXUO8CqOSDhu0yAcVeh,0,[],0,1960.0,1,
Johnny Preston,spotify:artist:1B8n8vtEeexQ5NKehHTkeo,9804,"['brill building pop', 'deep adult standards', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",36,1960.0,1,
Barbara Mason,spotify:artist:5PmZd7YOaUgQwhOja44fmZ,60251,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']",47,1960.0,1,
Pérez Prado,spotify:artist:1ZKhPkCXXgtiGgALn4OYtT,43819,"['bolero', 'latin jazz', 'mambo', 'space age pop']",53,1960.0,1,
Ben E. King,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,328518,"['adult standards', 'brill building pop', 'motown', 'rock-and-roll', 'soul', 'southern soul']",67,1960.0,1,
Diana Ross ,spotify:artist:3MdG05syQeRYPPcClLaUGl,1054073,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",71,1960.0,0,
Betty Everett,spotify:artist:53jXEVVJtpaWVQ3ffvhDtl,14607,"['brill building pop', 'chicago soul', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",45,1960.0,1,
Sir Douglas Quintet,spotify:artist:3A2UXqQgMDJ3YNvLPyX5NW,8407,"['bubblegum pop', 'classic garage rock', 'cosmic american', 'country rock', 'pub rock']",38,1960.0,1,
Johnny Lytle,spotify:artist:1YENA5yMZMS2ta6wzLKWPg,1110,"['jazz vibraphone', 'soul jazz']",18,1960.0,1,
The Archies,spotify:artist:33QmoCkSqADuQEtMCysYLh,62110,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']",60,1960.0,1,
Bobby Goldsboro,spotify:artist:5gPEo032lzARtzuVqJIm9o,67511,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",51,1960.0,1,
The Exciters,spotify:artist:2GF1B0GIaFrLFLdfH6ufRO,10791,"['brill building pop', 'classic girl group', 'motown', 'northern soul']",40,1960.0,1,
The Marketts,spotify:artist:2W9dD4SfW7p19JtzRgWGjz,6213,['surf music'],35,1960.0,1,
The Box Tops,spotify:artist:3KGQvnOoqUHi3KxKQMZtXr,82526,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'merseybeat']",52,1960.0,1,
Guty Cárdenas,spotify:artist:1XXNhXjfbtXeW1amhbUKIW,5294,['ranchera'],26,1960.0,1,
